广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
电梯三房东南向，阳台望江，房间南望体育场、广州塔！,置地大厦,东川路,3室1厅 ,101.96, 南 北 东 , 精装 ,32,2000, 塔楼,25, 10个月以前发布,5980000.0,"58,651元/平",近地铁 VR看装修 房本满五年 
麓湖御景 西南向电梯2房 小区管理,麓湖御景,淘金,2室1厅 ,73.07, 东南 , 其他 ,32,2007, 塔楼,6, 5个月以前发布,4300000.0,"58,848元/平",VR房源 房本满五年 
旧部前 采光充足 视野宽阔 配套设施齐全 交通便利,一德花园,海珠广场,3室1厅 ,93.38, 东 , 精装 ,25,1996, 塔楼,3, 3个月以前发布,3980000.0,"42,622元/平",VR房源 房本满五年 
陈家祠核芯商圈，越秀地段，南北对流户型，靓盘,西华路,西华路,2室1厅 ,53.67, 南 北 , 精装 ,9,1994, 塔楼,34, 3个月以前发布,2350000.0,"43,787元/平",VR看装修 房本满五年 
本月必卖！错过再无此房！五羊新城 精装修轻松变三房,寺右一横路,杨箕,2室1厅 ,76.44, 东 , 精装 ,8,1992, 塔楼,29, 7个月以前发布,3750000.0,"49,059元/平",近地铁 VR看装修 房本满五年 
富力宜居，全明三房，厅出阳台，望珠江,富力宜居,东川路,3室1厅 ,89.12, 南 , 简装 ,21,2002, 塔楼,37, 3个月以前发布,5790000.0,"64,969元/平",近地铁 VR看装修 房本满五年 
大德路 满族 低层2房 精装修,大德路,解放南,2室1厅 ,33.35, 东北 , 其他 ,9,1993, 塔楼,48, 4个月以前发布,1200000.0,"35,983元/平",近地铁 VR房源 房本满五年 
房子是白云区  白云区广铁五小,解放北路(越秀区),解放北,2室1厅 ,43.23, 南 , 精装 ,9,1990, 塔楼,52, 1个月以前发布,860000.0,"19,894元/平",VR看装修 房本满五年 
此房满五年，精装修，楼龄新，管理好，风采光好,东方广场,环市东,1室1厅 ,36.5, 南 , 精装 ,32,2003, 塔楼,15, 一年前发布,3150000.0,"86,302元/平",近地铁 VR看装修 房本满五年 
共和苑 2室1厅 南,共和苑,杨箕,2室1厅 ,57.58, 南 , 简装 ,6,1992, 板楼,2, 1个月以前发布,3500000.0,"60,785元/平",近地铁 VR房源 房本满五年 
东风广场两房 东南朝向 安静户型,东风广场,东风东,2室1厅 ,70.06, 东南 , 其他 ,39,1998, 板塔结合,0, 1个月以前发布,5730000.0,"81,754元/平",近地铁 VR看装修 房本满五年 
"正规三房两厅双阳台，商品房过五唯一,东南西向",东山锦轩,东山口,3室2厅 ,95.95, 东 南 , 精装 ,31,2005, 塔楼,41, 7个月以前发布,8900000.0,"92,757元/平",近地铁 VR看装修 房本满五年 
此房满五年，免增值税，南北对流，楼层光线好,淘金路,淘金,2室1厅 ,63.71, 南 北 , 简装 ,9,1990, 塔楼,6, 6个月以前发布,3990000.0,"62,628元/平",VR看装修 房本满五年 
梅花村 铁一 正南向 大阳台 过五年唯一,梅花村,东风东,2室1厅 ,80.23, 南 , 简装 ,9,2000, 塔楼,19, 6个月以前发布,6300000.0,"78,525元/平",近地铁 VR看装修 房本满五年 
署前路 实用三房 交通便利，装修保养新净，户型方正,署前路,东山口,3室1厅 ,65.37, 南 , 简装 ,9,1990, 塔楼,0, 1个月以前发布,4250000.0,"65,015元/平",近地铁 VR看装修 房本满两年 
三眼井小区 电梯 享受大自然越秀公园的拥抱 满五 唯一,小北路,小北,2室1厅 ,46.28, 东 西 , 简装 ,9,2000, 塔楼,1, 3个月以前发布,3500000.0,"75,627元/平",近地铁 VR房源 房本满五年 
共和路小区 低层带平台 商品过五年 框架南北,共和路,杨箕,3室1厅 ,63.11, 南 北 , 精装 ,9,1992, 塔楼,1, 1个月以前发布,4900000.0,"77,643元/平",近地铁 VR看装修 房本满五年 
小区绿化高，龄楼龄新，位置安静，环境优美,嘉骏苑,东川路,2室1厅 ,49.33, 东南 , 简装 ,32,2001, 塔楼,64, 一年前发布,2180000.0,"44,193元/平",近地铁 VR房源 房本满五年 
满五年免重税，中等楼层采光视野优越，装修保养较好！,德兴苑,人民路,2室1厅 ,42.25, 东北 , 简装 ,24,1998, 塔楼,3, 1个月以前发布,1830000.0,"43,314元/平",近地铁 VR看装修 房本满五年 
清水濠小区原装电梯三房，格局方正实用，过五年免重税,德悦居,越秀南,3室1厅 ,90.03, 西北 , 简装 ,15,2000, 塔楼,28, 7个月以前发布,5700000.0,"63,313元/平",VR看装修 房本满五年 
黄花岗，先烈中实用三房，东向采光好，地铁交通便利,永福路永福西约,黄花岗,3室1厅 ,82.3, 东 , 精装 ,9,1995, 塔楼,29, 7个月以前发布,2620000.0,"31,835元/平",近地铁 VR看装修 房本满五年 
东方文德南向三房  满五年 带车位卖 有大平台,东方文德广场,农讲所,3室2厅 ,119.45, 南 , 精装 ,35,2015, 塔楼,10, 一年前发布,14000000.0,"117,204元/平",VR看装修 房本满五年 
农林华府正规两房户型方正采光充足全明屋,农林华府,环市东,2室1厅 ,62.43, 东 北 , 简装 ,7,2013, 塔楼,78, 一年前发布,5380000.0,"86,177元/平",VR看装修 房本满两年 
高层电梯楼  证满五年  地铁沿线  楼新,豪贤苑,农讲所,3室1厅 ,100.0, 北 , 精装 ,19,2000, 塔楼,31, 一年前发布,5400000.0,"54,000元/平",近地铁 VR房源 房本满两年 
北京路 精装三房 低楼层 户型好 看房方便,北京路,北京路,3室1厅 ,53.42, 北 南 , 精装 ,6,1989, 塔楼,1, 1个月以前发布,1890000.0,"35,381元/平",近地铁 VR看装修 房本满两年 
商品房满五唯一，中层电梯房，一梯2户，南北向，,中航大厦,东风东,3室2厅 ,98.0, 南 西 北 , 简装 ,7,1986, 塔楼,20, 7个月以前发布,6150000.0,"62,756元/平",VR看装修 房本满五年 
水荫直街 小高层 三房二厅  南北对流 封闭管理,水荫直街,水荫,3室2厅 ,113.46, 南 北 , 其他 ,12,2000, 塔楼,6, 1个月以前发布,6980000.0,"61,520元/平",近地铁 VR看装修 房本满五年 
中层大户单边位罕有东南向，通风采光好，开阔视野,兴城大厦,五羊新城,3室1厅 ,137.6, 南 , 精装 ,30,2002, 塔楼,4, 4个月以前发布,9000000.0,"65,407元/平",近地铁 VR房源 房本满五年 
东风广场 三居室带主套 望小区花园 采光通风好,东风广场,东风东,3室2厅 ,91.17, 西北 , 简装 ,38,1998, 塔楼,67, 2个月以前发布,7460000.0,"81,754元/平",近地铁 VR房源 房本满五年 
金东环大厦 方正三房 厅出阳台 过五唯一,金东环大厦,环市东,3室1厅 ,113.81, 东南 西北 , 精装 ,31,2008, 塔楼,3, 2个月以前发布,9750000.0,"85,670元/平",VR看装修 房本满五年 
逸雅居 高层三房两厅 证过五年 高层视野开阔 有租客,逸雅居,建设路,3室2厅 ,109.31, 西 , 精装 ,30,2000, 塔楼,21, 3个月以前发布,7680000.0,"70,259元/平",近地铁 VR房源 房本满五年 
满五  南北对流  精装修  越秀区 东风西  近地铁,友谊剧院宿舍,解放北,3室1厅 ,78.19, 南 北 , 精装 ,5,1995, 塔楼,82, 6个月以前发布,2680000.0,"34,276元/平",近地铁 VR看装修 房本满五年 
此房满五 框架电梯 精装3房  户型方正,淘金坑,淘金,3室1厅 ,73.02, 南 西南 , 精装 ,9,1998, 塔楼,52, 6个月以前发布,4500000.0,"61,627元/平",VR看装修 房本满五年 
房满五年楼，东南向，通风采光好，近麓湖公园,麓湖阁,淘金,3室2厅 ,105.0, 东南 , 精装 ,28,2001, 板塔结合,72, 5个月以前发布,5500000.0,"52,381元/平",VR房源 房本满五年 
中山四路低层全明三房 三面单边 采光好 地段好,中山四路,农讲所,3室1厅 ,76.03, 东南 北 , 简装 ,9,2003, 塔楼,4, 1个月以前发布,3050000.0,"40,116元/平",近地铁 VR看装修 房本满五年 
近江边原装电梯高层 精装自住三房 证过五年 出门地铁,椰诚阁,越秀南,4室2厅 ,121.43, 西北 , 精装 ,28,1999, 塔楼,1, 1个月以前发布,6450000.0,"53,118元/平",近地铁 VR房源 房本满五年 
满五唯一商品房，免重税，近地铁，安静不吵,水荫路,水荫,3室1厅 ,83.97, 东 , 其他 ,8,1993, 塔楼,70, 4个月以前发布,2520000.0,"30,011元/平",近地铁 VR看装修 房本满五年 
永福路89号大院框架两房两厅 框架结构 采光通风满五年,永福路89号大院,沙河,3室2厅 ,81.29, 东南 南 , 简装 ,9,1997, 塔楼,22, 2个月以前发布,2850000.0,"35,060元/平",VR看装修 房本满五年 
黄花岗 81号大院 电梯框架2房 南北对流 位置优越,先烈中路81号大院,黄花岗,2室1厅 ,65.5, 南 北 , 其他 ,15,2000, 塔楼,16, 4个月以前发布,3180000.0,"48,550元/平",近地铁 VR看装修 房本满五年 
大新路 中层两房 旧部前 东南朝向,大新路,海珠广场,2室1厅 ,45.08, 东南 , 简装 ,9,1990, 塔楼,4, 4个月以前发布,1330000.0,"29,504元/平",近地铁 VR看装修 房本满五年 随时看房 
珠江边 市级单位大院管理 安静 低楼层 南向满五,五矿大院,东湖,1室2厅 ,29.53, 南 , 精装 ,6,1983, 板楼,9, 3个月以前发布,1150000.0,"38,944元/平",VR看装修 房本满五年 随时看房 
此房生活配套完善，众多食肆任君选择,东华西路,东川路,2室1厅 ,41.48, 东 东南 , 简装 ,9,1997, 塔楼,6, 3个月以前发布,1450000.0,"34,957元/平",VR看装修 房本满五年 随时看房 
此房满五不唯一 东向安静不吵  视野开阔 装修新,东风广场,东风东,2室2厅 ,70.0, 东 , 简装 ,39,1998, 板塔结合,9, 2个月以前发布,5730000.0,"81,754元/平",近地铁 VR看装修 房本满五年 随时看房 
此房证过五年，近农讲所 省实 轻松上车,中山四路,农讲所,1室0厅 ,25.53, 南 , 精装 ,9,1998, 塔楼,8, 6个月以前发布,870000.0,"34,078元/平",近地铁 VR看装修 房本满五年 随时看房 
原小北+准电梯房+采光通风好+有大院+宜居+近越秀公园,小北路,小北,1室1厅 ,43.24, 南 北 , 精装 ,9,1993, 塔楼,1, 3个月以前发布,3120000.0,"72,156元/平",近地铁 VR看装修 房本满两年 随时看房 
大南路 封闭大院管理 格局方正两房 南北对流,大南路,北京路,2室1厅 ,70.45, 南 北 , 简装 ,8,1995, 塔楼,15, 一年前发布,1850000.0,"26,260元/平",VR看装修 房本满五年 随时看房 
北京路地铁站 原装电梯 中层朝南 采光充足 住宅70年,锦源国际公寓,北京路,1室0厅 ,42.67, 南 , 精装 ,37,1997, 塔楼,9, 2个月以前发布,1270000.0,"29,764元/平",VR看装修 房本满五年 随时看房 
东风西路小区管理  小一房 方正实用 安静不吵,商业新村,东风西,1室0厅 ,21.5, 东南 , 简装 ,5,1999, 塔楼,32, 一年前发布,498000.0,"23,163元/平",近地铁 VR看装修 房本满五年 随时看房 
湖滨小区 三楼 三面单边 小户型两室 全明屋！,湖滨苑,东湖,2室1厅 ,49.37, 南 , 简装 ,9,1998, 塔楼,56, 3个月以前发布,2450000.0,"49,626元/平",近地铁 VR看装修 房本满五年 随时看房 
高层一房一厅  有平台 楼梯好走 采光充足,大德路,解放南,1室1厅 ,38.06, 南 , 其他 ,9,1993, 塔楼,9, 1个月以前发布,900000.0,"23,647元/平",近地铁 VR看装修 房本满五年 随时看房 
富华商贸大厦 1室0厅 南,富华商贸大厦,解放南,1室0厅 ,29.64, 南 , 精装 ,21,2013, 塔楼,25, 一年前发布,455000.0,"15,351元/平",房本满两年 随时看房 
陈家祠核芯商圈，越秀地段，南北对流户型，靓盘,西华路,西华路,2室1厅 ,53.67, 南 北 , 精装 ,9,1994, 塔楼,34, 3个月以前发布,2350000.0,"43,787元/平",VR看装修 房本满五年 
君汇世家 3+1房 高层安静视野好,君汇世家,水荫,3室2厅 ,156.28, 西北 , 精装 ,30,2009, 板塔结合,2, 4个月以前发布,10790000.0,"69,022元/平",近地铁 VR看装修 房本满五年 
新上 花园新村 2房1厅 厅出阳台朝南 全明屋 看房方便,花园新村,东湖,2室1厅 ,73.1, 东南 , 简装 ,8,1990, 塔楼,3, 3个月以前发布,3380000.0,"46,239元/平",近地铁 VR房源 房本满两年 
东华西路  南向大阳台 电梯加装筹备中  自住5年保养好,东华西路,东川路,2室1厅 ,39.59, 南 , 精装 ,9,1993, 塔楼,9, 5个月以前发布,1740000.0,"43,951元/平",近地铁 VR房源 房本满两年 
全明屋，南北对流，厅出南向大阳台，不占用旧部前,大德路,解放南,3室2厅 ,88.19, 南 北 , 简装 ,9,1993, 塔楼,78, 一年前发布,3600000.0,"40,821元/平",近地铁 VR看装修 房本满五年 
东南向全明三房，中楼层，采光通风好，业主诚意卖,中山三路,东川路,3室1厅 ,86.54, 南 北 , 简装 ,9,1998, 塔楼,84, 9个月以前发布,3500000.0,"40,444元/平",近地铁 VR房源 房本满五年 
拎包入住 满五唯一 高层两房 1.2号双地铁 望广州塔,文星阁,北京路,2室1厅 ,80.06, 东 , 精装 ,32,2007, 塔楼,72, 3个月以前发布,4580000.0,"57,208元/平",近地铁 VR房源 房本满五年 
铁一，加装电梯，南北对流，7米2的阳台,东园新村,东山口,3室2厅 ,94.32, 南 , 精装 ,6,1980, 板楼,6,31,6250000.0,"66,264元/平",VR看装修 房本满两年 
梅花路电力设计院 加装电梯高层 非顶楼 大院管理,梅花路,东风东,3室1厅 ,68.69, 南 北 , 精装 ,9,1998, 塔楼,16, 8个月以前发布,6000000.0,"87,349元/平",近地铁 VR看装修 房本满两年 
教育局大院  电梯两房 南北对流 方正实用  安静,福今东,东风东,2室1厅 ,65.84, 南 北 , 精装 ,9,1995, 塔楼,224, 4个月以前发布,4670000.0,"70,930元/平",近地铁 VR看装修 房本满五年 
富力御龙庭 三房一厅 东西北向 证满五年 自住保养好,富力御龙庭,淘金,3室1厅 ,99.72, 东 西北 , 精装 ,27,2004, 塔楼,40, 3个月以前发布,7990000.0,"80,125元/平",近地铁 VR房源 房本满五年 
满五地铁大三房，采光通风好，户型方正实用高,五羊商住中心,五羊新城,3室2厅 ,98.77, 南 西北 , 简装 ,9,2000, 塔楼,28, 3个月以前发布,4550000.0,"46,067元/平",近地铁 VR看装修 房本满五年 
民间金融大厦 1室0厅 南,民间金融大厦,解放南,1室0厅 ,46.04, 南 , 精装 ,28,2014, 塔楼,0, 4个月以前发布,890000.0,"19,332元/平",房本满五年 
东湖板块 上车小面 南向带阳台 近地铁 江边,花园新村,东湖,1室1厅 ,34.15, 南 北 , 简装 ,8,1990, 塔楼,12, 10个月以前发布,1460000.0,"42,753元/平",VR看装修 房本满两年 
麓雅居，近地铁，电梯南向带阳台 楼龄新。,麓雅居,淘金,2室1厅 ,58.67, 东南 南 , 简装 ,20,1996, 塔楼,134, 一年前发布,1955000.0,"33,322元/平",近地铁 VR看装修 房本满两年 
此房满五 框架电梯 精装3房  户型方正,淘金坑,淘金,3室1厅 ,73.02, 南 西南 , 精装 ,9,1998, 塔楼,52, 6个月以前发布,4500000.0,"61,627元/平",VR看装修 房本满五年 
《美好居住选富力东堤湾》高层视野好 通风好 可读铁一,富力东堤湾,杨箕,3室2厅 ,120.82, 北 东北 , 精装 ,30,2006, 塔楼,1, 1个月以前发布,12800000.0,"105,943元/平",近地铁 VR房源 房本满五年 
满五唯一商品房，免重税，近地铁，安静不吵,水荫路,水荫,3室1厅 ,83.97, 东 , 其他 ,8,1993, 塔楼,70, 4个月以前发布,2520000.0,"30,011元/平",近地铁 VR看装修 房本满五年 
广东省电视台大院，大院管理·满五·电梯两房精装,电视台大院,淘金,2室1厅 ,78.07, 南 北 , 精装 ,25,1991, 塔楼,24, 一年前发布,4500000.0,"57,641元/平",近地铁 VR看装修 房本满五年 
华侨新村大四房南北对流安静采光好诚意卖看房提前约,华侨新村,淘金,4室2厅 ,125.39, 东南 , 简装 ,6,1985, 板楼,9, 2个月以前发布,6980000.0,"55,667元/平",近地铁 VR看装修 房本满五年 
东山口 德心轩 电梯3房2卫  通风采光好 看房方便,德心轩,东山口,3室1厅 ,94.03, 西南 , 精装 ,9,1991, 塔楼,18, 一年前发布,7990000.0,"84,973元/平",近地铁 VR看装修 房本满五年 
淘金 淘金半山御庭旁 全屋进口精致装修 南向大露台,侨福苑,淘金,2室2厅 ,119.28, 西南 , 精装 ,21,1996, 塔楼,16, 4个月以前发布,7350000.0,"61,620元/平",VR房源 房本满五年 
嘉诚国际公寓 户型方正保养不错墙身干净整洁宽敞明亮,嘉诚国际公寓,水荫,1室0厅 ,40.2, 东 , 其他 ,29,2007, 塔楼,0, 1个月以前发布,2100000.0,"52,239元/平",VR看装修 房本满两年 
正佳中层 业主置换 诚意卖 提前预约看房,正佳东方国际,淘金,1室1厅 ,64.83, 北 , 精装 ,55,2009, 塔楼,0,23,1300000.0,"20,053元/平",近地铁 房本满两年 
拥翠小区 低层框架一房 闹中取静,拥翠小区,建设路,1室0厅 ,20.72, 西 , 精装 ,7,2000, 板楼,1,18,1000000.0,"48,263元/平",近地铁 VR看装修 房本满五年 
新达城 高层小户型 满五年 保养好,新达城广场,水荫,1室1厅 ,46.3, 东 , 简装 ,30,2000, 板塔结合,0,16,2280000.0,"49,245元/平",VR房源 房本满五年 
执信南路竹丝岗框架三楼两房 使用率高,执信南路,东山口,2室1厅 ,53.12, 南 北 , 精装 ,8,1990, 塔楼,1,16,2630000.0,"49,511元/平",近地铁 VR房源 房本满五年 
五羊小区 东实  近市场 近江边 配套成熟,五羊小区,五羊新城,1室0厅 ,12.86, 北 , 简装 ,9,1986, 塔楼,12, 4个月以前发布,690000.0,"53,655元/平",近地铁 VR看装修 房本满五年 随时看房 
地理位置优越，交通出行便利，配套完善。,濠畔商厦,解放南,1室1厅 ,44.13, 南 , 其他 ,19,1999, 塔楼,27, 4个月以前发布,560000.0,"12,690元/平",近地铁 房本满五年 随时看房 
框架结构，户型方正实用，16平方平台不算面积,竹丝岗二马路,东风东,2室1厅 ,42.06, 西南 北 , 简装 ,7,1980, 板楼,7, 4个月以前发布,2080000.0,"49,454元/平",近地铁 VR房源 房本满五年 随时看房 
6号线地铁 黄花岗永福西约 框架结构,永福路永福西约,黄花岗,2室1厅 ,43.73, 南 , 简装 ,6,1995, 塔楼,102, 一年前发布,1390000.0,"31,786元/平",近地铁 VR看装修 房本满五年 随时看房 
建设二马路，布局方正的房子，采光通风好,建设二马路,建设路,1室0厅 ,25.0, 西 , 简装 ,9,1990, 塔楼,23, 10个月以前发布,900000.0,"36,000元/平",近地铁 VR看装修 房本满五年 
