此小区位于广州后花园之都从化流溪河。,翰林国际,旧城区,4室2厅 ,118.34, 南 , 精装 ,11,2018, 板楼,14, 10个月以前发布,1080000.0,"9,127元/平",VR看装修 房本满两年 随时看房 
星汇峰 2室1厅 南,星汇峰,太平镇,2室1厅 ,76.81, 南 , 毛坯 ,9,2010, 塔楼,0, 1个月以前发布,800000.0,"10,416元/平",VR看装修 房本满五年 随时看房 
南向，户型靓采光好，楼层好，地铁口有步行街。,欣荣宏国际商贸城,江浦街,2室2厅 ,91.41, 北 , 毛坯 ,18,2013, 塔楼,0,22,1450000.0,"15,863元/平",近地铁 VR看装修 房本满两年 随时看房 
南北对流，电梯两房中高层，业主人好,人盛巴厘天地,神岗镇,2室1厅 ,82.1, 南 , 毛坯 ,17,2013, 塔楼,0,27,780000.0,"9,501元/平",VR房源 房本满五年 随时看房 
巴厘天地，环境优美，生活便利，交通便利，,人盛巴厘天地,神岗镇,2室1厅 ,83.97, 南 , 毛坯 ,17,2014, 塔楼,0,24,800000.0,"9,528元/平",VR看装修 房本满五年 随时看房 
华标荔苑 南向 户型方正 采光好,华标荔苑,太平镇,2室1厅 ,89.34, 西南 , 精装 ,6,2013, 塔楼,0,24,1060000.0,"11,865元/平",近地铁 VR看装修 房本满五年 随时看房 
大城云山  满五唯一   中高层  南线视线好,大城云山,太平镇,2室2厅 ,92.63, 东南 , 毛坯 ,17,2016, 塔楼,0,22,1050000.0,"11,336元/平",近地铁 VR看装修 房本满五年 随时看房 
人盛巴厘天地 2室2厅 东南,人盛巴厘天地,神岗镇,2室2厅 ,72.33, 东南 , 精装 ,18,2018, 塔楼,0,13,910000.0,"12,582元/平",VR房源 房本满两年 
上城湾畔东区 3室1厅 北,上城湾畔东区,江浦街,3室1厅 ,93.14, 北 , 精装 ,15,2009, 塔楼,0,7,1800000.0,"19,326元/平",近地铁 VR看装修 房本满五年 
单边位靓别墅。地铁口环境好。南北格局好，,逸泉山庄,赤草,5室2厅 ,216.0, 东南 , 精装 ,3, 暂无数据 , 独栋别墅 ,0,15,5590000.0,"25,880元/平",VR房源 房本满五年 
珠江壹城小区，近地铁口，环境优美，生活便利，,珠江壹城,神岗镇,3室1厅 ,100.38, 西北 , 精装 ,27,2011, 板塔结合,0,3,1370000.0,"13,649元/平",VR看装修 房本满两年 
爱尚流溪 3室2厅 东南 南,爱尚流溪,江浦街,3室2厅 ,104.0, 东南 南 , 毛坯 ,24,2015, 塔楼,0,13,1080000.0,"10,385元/平",VR看装修 房本满两年 
宏诚海岸高层南向 一线江景采光通透 税费低,宏诚海岸花园,河滨北路,3室2厅 ,144.81, 南 , 毛坯 ,31,2008, 塔楼,0,25,1850000.0,"12,776元/平",VR房源 房本满五年 随时看房 
珠江壹城145方，格局方正，客厅餐厅错开，增加空间感,珠江壹城,神岗镇,4室2厅 ,145.78, 西南 , 精装 ,28,2018, 板塔结合,0,31,1880000.0,"12,897元/平",近地铁 VR看装修 房本满两年 随时看房 
独栋四层  一线山景  大别墅  格局实用,富力泉天下,温泉镇,6室2厅 ,410.67, 南 西南 , 精装 ,3, 塔楼 , 独栋别墅 ,4, 3个月以前发布,6380000.0,"15,536元/平",VR房源 房本满两年 
独栋别墅，*大花园，通风采光，户型方正,紫泉流溪湾,太平镇,5室2厅 ,423.89, 东南 , 其他 ,3,2015, 板楼,13, 一年前发布,8600000.0,"20,289元/平",VR房源 房本满两年 随时看房 
巴厘天地，大三房，东南向，*位低,人盛巴厘天地,神岗镇,3室1厅 ,123.54, 东南 , 其他 ,17,2011, 塔楼,7, 一年前发布,1100000.0,"8,904元/平",VR看装修 房本满五年 随时看房 
紫泉翠荔嘉园 适用于大家庭 复式房,紫泉翠荔嘉园,太平镇,7室1厅 ,151.0, 东南 , 其他 ,6,2006, 板楼,26, 一年前发布,1650000.0,"10,928元/平",VR房源 房本满五年 随时看房 
改善型户型。大平层四房三卫精装,珠江壹城,神岗镇,4室2厅 ,144.0, 南 , 其他 ,28,2017, 板塔结合,1, 7个月以前发布,2000000.0,"13,889元/平",近地铁 VR看装修 房本满五年 随时看房 
富力泉天下 4室1厅 东南,富力泉天下,温泉镇,4室1厅 ,148.03, 东南 , 其他 ,18,2014, 塔楼,3, 一年前发布,1468000.0,"9,917元/平",VR看装修 房本满五年 随时看房 
立体交通全程对接，主城生活唾手可得,雅居乐小院流溪,赤草,3室2厅 ,140.75, 南 , 其他 ,17,2013, 塔楼,14, 一年前发布,1350000.0,"9,592元/平",VR看装修 房本满五年 随时看房 
珠江壹城别墅 正对公园小湖 后花园辽阔  从没入住过,珠江壹城,神岗镇,5室2厅 ,324.44, 东南 , 其他 ,2,2009, 板塔结合,4, 一年前发布,5080000.0,"15,658元/平",VR房源 房本满两年 随时看房 
小有的四合苑放*，动静分离。花园约380方。,方圆明月山溪,温泉镇,7室2厅 ,153.53, 南 北 , 其他 ,3,2014, 塔楼,32, 一年前发布,3980000.0,"25,924元/平",VR房源 房本满五年 随时看房 
南北对流，大户型格局方正彩光好电梯复式,大城云山,太平镇,3室2厅 ,152.18, 南 , 毛坯 ,17,2016, 塔楼,27, 一年前发布,1960000.0,"12,880元/平",近地铁 VR房源 房本满两年 随时看房 
君源御湖城 7室4厅 南,君源御湖城,江浦街,7室4厅 ,390.03, 南 , 其他 ,4,2013, 塔楼,0, 9个月以前发布,4500000.0,"11,538元/平",VR房源 房本满两年 随时看房 
此房源格局很好，望花园舒适环境，地铁口。,雅居乐滨江花园,江浦街,4室2厅 ,202.79, 南 北 , 其他 ,18,2007, 塔楼,1, 4个月以前发布,5080000.0,"25,051元/平",近地铁 VR房源 房本满五年 随时看房 
地铁口，南向大三房，户型方正，楼层好视野开阔,大城云山,太平镇,3室2厅 ,117.56, 东南 , 其他 ,17,2016, 塔楼,0,13,1800000.0,"15,312元/平",近地铁 VR看装修 房本满两年 随时看房 
户型方正，保养良好，拎包入住，空气宜人！,紫泉流溪湾,太平镇,2室2厅 ,81.41, 西南 , 其他 ,17,2018, 板楼,0,10,1090000.0,"13,390元/平",VR看装修 房本满两年 随时看房 
东南向 格局方正客厅朝阳，主卧朝东，明厅名厨明卫。,夏日港湾,江浦街,3室2厅 ,112.55, 东 , 精装 ,21,2004, 塔楼,0,31,1905000.0,"16,926元/平",VR房源 房本满五年 
稀有户型 御景世嘉4房2厅房大厅大 南向望花园,名城御景绿洲,江浦街,4室2厅 ,146.89, 南 , 毛坯 ,27,2014, 塔楼,0,28,1800000.0,"12,255元/平",近地铁 VR房源 房本满五年 
城市印象高层四房，户型方正实用视野开阔,城市印象,河滨北路,4室2厅 ,135.76, 东南 , 精装 ,16,2008, 塔楼,2,30,1380000.0,"10,165元/平",VR房源 房本满五年 
此房满五，南北对流，视野宽阔，采光充足，交通便利,人盛城市假日花园,河滨北路,3室2厅 ,127.84, 东南 , 精装 ,12,2007, 塔楼,0,19,1590000.0,"12,438元/平",VR看装修 房本满五年 
距离地铁站只有300米左右的精装3房,名城御景绿洲,江浦街,3室2厅 ,107.69, 东南 , 精装 ,11,2014, 塔楼,0,29,1530000.0,"14,208元/平",近地铁 VR看装修 房本满两年 
雍和苑 3房 装修新 高品质生活 从这套房子开启,雍禾苑,新城片区,3室1厅 ,89.61, 东北 , 其他 ,18,2012, 塔楼,0,30,1600000.0,"17,856元/平",VR看装修 房本满两年 
上城湾畔联排别墅，单边位，三个花园,上城湾畔C区别墅,江浦街,5室3厅 ,280.1, 东南 , 精装 ,3, 板塔结合 , 独栋别墅 ,0,29,4780000.0,"17,066元/平",近地铁 VR房源 房本满五年 
紫泉流溪湾电梯四房  望流溪河  景色优美,紫泉流溪湾,太平镇,4室2厅 ,147.73, 西南 , 其他 ,17,2018, 板楼,0,8,2150000.0,"14,554元/平",VR看装修 房本满两年 
逸泉山庄 准地铁口 拎包入住 满五年,逸泉山庄,赤草,5室2厅 ,197.3, 西南 东北 , 其他 ,3, 暂无数据 , 联排别墅 ,0,9,3950000.0,"20,021元/平",近地铁 VR房源 房本满两年 
业主处理空置房产，诚意出手，看中可谈,君源御湖城,江浦街,7室2厅 ,313.53, 东南 北 , 毛坯 ,4,2013, 塔楼,1, 6个月以前发布,3390000.0,"10,813元/平",VR房源 房本满两年 
满五唯一，税费低，交通便利，生活配套齐全，拎包入住,紫泉翠荔嘉园,太平镇,4室2厅 ,130.0, 南 , 简装 ,6,2004, 塔楼,5, 一年前发布,1880000.0,"14,462元/平",VR看装修 房本满五年 
东方夏湾拿南入户全屋精装别墅，拎包入住,东方夏湾拿,太平镇,5室2厅 ,258.63, 南 , 精装 ,3,2010, 板塔结合,53, 一年前发布,3650000.0,"14,113元/平",VR房源 房本满两年 
紫泉翠荔嘉园  3房2厅带主套  户型方正，采光楼层好,紫泉翠荔嘉园,太平镇,3室2厅 ,106.09, 东南 , 精装 ,6,2007, 塔楼,21, 一年前发布,1310000.0,"12,349元/平",VR看装修 房本满五年 
成熟配套 此房满五唯一红本在手 方形方正 采光好,紫泉翠荔嘉园,太平镇,3室2厅 ,105.0, 南 , 简装 ,6,2004, 板楼,10, 一年前发布,1380000.0,"13,143元/平",VR房源 房本满五年 
富力泉天下 6室3厅 南,富力泉天下,温泉镇,6室3厅 ,411.49, 南 , 毛坯 ,3,2013, 塔楼,7, 一年前发布,5300000.0,"12,881元/平",VR房源 房本满两年 
271㎡精装修4层别墅，保养好，可以领包入住,东方夏湾拿,太平镇,5室3厅 ,271.18, 南 北 , 精装 ,3,2016, 板塔结合,44, 10个月以前发布,4198000.0,"15,481元/平",VR房源 房本满两年 
紫泉翠荔嘉园  *  大三房,紫泉翠荔嘉园,太平镇,3室2厅 ,150.84, 南 北 , 精装 ,6,2004, 板楼,5, 一年前发布,2800000.0,"18,563元/平",VR看装修 房本满五年 
"从化温泉旅游区,拥有丰富的原生态资源",方圆明月山溪,温泉镇,5室2厅 ,297.47, 东南 , 简装 ,3, 塔楼 , 独栋别墅 ,1, 5个月以前发布,3100000.0,"10,422元/平",VR房源 房本满五年 
观湖景，采光充足，带装修， 视野宽阔无遮,紫泉翠荔嘉园,太平镇,4室2厅 ,176.87, 南 北 , 精装 ,6,2007, 板楼,7, 11个月以前发布,2400000.0,"13,570元/平",VR房源 房本满五年 
紫泉流溪湾 5室2厅 南,紫泉流溪湾,太平镇,5室2厅 ,462.34, 南 , 精装 ,3, 板楼 , 独栋别墅 ,2, 5个月以前发布,12980000.0,"28,075元/平",VR房源 房本满两年 
双拼别·墅 150平方花园 视野开拓看湖景 可拎包入住,珠江壹城,神岗镇,7室4厅 ,354.52, 东南 , 精装 ,2,2009, 板塔结合,6, 7个月以前发布,5600000.0,"15,797元/平",VR房源 房本满两年 
东方夏湾拿 7室1厅 西北,东方夏湾拿,太平镇,7室1厅 ,240.07, 西北 , 简装 ,3, 板塔结合 , 独栋别墅 ,0, 5个月以前发布,4300000.0,"17,912元/平",VR房源 房本满五年 
富力泉天下 6室2厅 南,富力泉天下,温泉镇,6室2厅 ,190.96, 南 , 精装 ,3, 塔楼 , 联排别墅 ,3, 1个月以前发布,3000000.0,"15,711元/平",VR房源 房本满两年 
紫泉流溪湾 出则繁华 入则安静 给您不一样的家,紫泉流溪湾,太平镇,4室1厅 ,151.69, 西南 , 毛坯 ,18,2016, 板楼,10, 一年前发布,2000000.0,"13,185元/平",VR看装修 房本满两年 
东方夏湾拿 5室3厅 东南,东方夏湾拿,太平镇,5室3厅 ,140.0, 东南 , 其他 ,3,2005, 板塔结合,3, 一年前发布,5900000.0,"42,143元/平",VR房源 房本满五年 
独栋大别墅，亲水公园环境优美，户型格局好,珠光流溪御景,赤草,6室2厅 ,470.93, 南 北 , 毛坯 ,3,2015, 板塔结合,8, 一年前发布,7000000.0,"14,865元/平",VR房源 房本满两年 
富力泉天下 天然氧吧 养老渡假,富力泉天下,温泉镇,4室2厅 ,146.77, 南 , 精装 ,18,2013, 塔楼,0, 2个月以前发布,1600000.0,"10,902元/平",VR看装修 房本满五年 
精装修别墅，单边位有大花园，前面门面大后有小桥流水,雅居乐小院流溪,赤草,5室2厅 ,555.18, 东南 西北 , 精装 ,3, 塔楼 , 双拼别墅 ,3, 7个月以前发布,11100000.0,"19,994元/平",VR房源 房本满两年 
阳光充足，环境优美，前后花园，可随时预约看房,方圆明月山溪,温泉镇,6室2厅 ,288.64, 南 , 简装 ,4, 塔楼 , 联排别墅 ,1, 4个月以前发布,3750000.0,"12,992元/平",VR房源 房本满两年 
智汇国际楼层好、地铁400米即达,智汇国际,太平镇,1室1厅 ,51.98, 东南 西北 , 精装 ,25,2016, 塔楼,0,15,470000.0,"9,042元/平",近地铁 房本满五年 随时看房 
拥有属于自己的私家山陵，独享私人果园山岭的小区！,亿城泉说,温泉镇,5室2厅 ,252.67, 南 , 精装 ,1,2014, 板塔结合,9, 一年前发布,7500000.0,"29,683元/平",VR房源 房本满两年 
从化温泉财富小镇 富力泉天下一线望江大独栋 大花园,富力泉天下,温泉镇,5室3厅 ,406.31, 东南 , 毛坯 ,3, 塔楼 , 双拼别墅 ,14, 10个月以前发布,5500000.0,"13,537元/平",VR房源 房本满五年 
珠江壹城4房2厅2卫。重新装修，直接拎包入住,珠江壹城,神岗镇,4室2厅 ,143.66, 西南 , 精装 ,28,2017, 板塔结合,3, 一年前发布,1650000.0,"11,486元/平",近地铁 VR看装修 房本满两年 
大城云山 1室1厅 东 南,大城云山,太平镇,1室1厅 ,42.95, 东 南 , 毛坯 ,9,2013, 塔楼,0,11,500000.0,"11,642元/平",近地铁 VR房源 房本满两年 随时看房 
碧桂园御湖城 366方大别墅 六房四卫 户型实用,君源御湖城,江浦街,6室3厅 ,367.66, 南 , 毛坯 ,4,2013, 塔楼,3, 一年前发布,3160000.0,"8,595元/平",VR房源 房本满两年 
富力泉天下 6室2厅 东南 西北,富力泉天下,温泉镇,6室2厅 ,410.67, 东南 西北 , 精装 ,3, 塔楼 , 双拼别墅 ,0, 3个月以前发布,6900000.0,"16,802元/平",VR房源 房本满五年 
业主诚意出，精装修拎包入住，视野开阔，生活便利,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 南 , 精装 ,17,2012, 塔楼,0, 4个月以前发布,1480000.0,"13,580元/平",VR看装修 房本满五年 
富力泉天下 新区别墅 近山顶广场 位置好 环境好,富力泉天下,温泉镇,7室2厅 ,190.96, 东南 , 精装 ,3,2016, 塔楼,2, 3个月以前发布,2800000.0,"14,663元/平",VR房源 房本满两年 
夏日港湾，精装修，明厅名厨明卫,夏日港湾,江浦街,3室2厅 ,138.55, 西南 , 精装 ,21,2004, 塔楼,2, 3个月以前发布,2130000.0,"15,374元/平",VR房源 房本满五年 
珠江壹城 7室3厅 南,珠江壹城,神岗镇,7室3厅 ,325.0, 南 , 精装 ,2,2009, 板塔结合,17, 一年前发布,5380000.0,"16,554元/平",VR房源 房本满五年 
花林湖畔 中楼层 北向 三房两厅 采光很好,利泰花林湖畔,鳌头镇,3室2厅 ,101.22, 北 , 毛坯 ,11,2012, 塔楼,3, 一年前发布,750000.0,"7,410元/平",VR看装修 房本满五年 
珠光流溪御景 4室2厅 南,珠光流溪御景,赤草,4室2厅 ,191.13, 南 , 其他 ,3,2014, 暂无数据,4, 7个月以前发布,3500000.0,"18,313元/平",VR房源 房本满两年 
户型方正实用，首付少 ，私密性强。,利泰花林湖畔,鳌头镇,3室2厅 ,98.44, 南 北 , 其他 ,9,2012, 塔楼,2, 8个月以前发布,850000.0,"8,635元/平",VR看装修 房本满五年 
碧桂园别墅，环境优越，带地下室，门前大花园,君源御湖城,江浦街,7室3厅 ,370.31, 东南 , 毛坯 ,4, 塔楼 , 独栋别墅 ,32, 6个月以前发布,2880000.0,"7,778元/平",VR房源 房本满五年 
莱茵水岸，单边位别墅，小区环境优越,莱茵水岸,江浦街,6室2厅 ,261.79, 东南 , 精装 ,3, 暂无数据 , 独栋别墅 ,0, 1个月以前发布,6500000.0,"24,830元/平",近地铁 VR房源 房本满两年 
碧桂园御湖城，格局方正，采光通风好，小区安静,君源御湖城,江浦街,6室2厅 ,318.11, 南 北 东南 , 毛坯 ,4, 塔楼 , 独栋别墅 ,2, 1个月以前发布,2600000.0,"8,174元/平",VR房源 房本满两年 
小区环境优美 空气好 打开大门都是绿色景观,侨宏花园,温泉镇,5室2厅 ,253.73, 东南 , 精装 ,3, 塔楼 , 独栋别墅 ,9, 5个月以前发布,3500000.0,"13,795元/平",VR房源 房本满五年 
巴亚莫新区别墅，D户型，150方花园,东方夏湾拿,太平镇,5室2厅 ,278.52, 南 , 精装 ,3,2017, 板塔结合,18, 一年前发布,4600000.0,"16,516元/平",VR房源 房本满五年 
夏日港湾，南向通透户型，采光楼层好,夏日港湾,江浦街,3室2厅 ,134.59, 东南 , 精装 ,21,2004, 塔楼,0,14,1950000.0,"14,489元/平",VR房源 房本满五年 
彩虹苑小区，生活便利，近地铁口，配套齐全,彩虹苑,太平镇,2室1厅 ,69.94, 西北 , 精装 ,5,2002, 塔楼,0,8,450000.0,"6,435元/平",VR房源 房本满两年 
此房满五唯一税费低，装修保养好，拎包..,星汇峰,太平镇,2室1厅 ,79.99, 南 , 精装 ,12,2010, 塔楼,0,11,920000.0,"11,502元/平",VR看装修 房本满五年 
大三房南向户型，南北对流通风采光好！,珠江壹城,神岗镇,3室2厅 ,116.56, 南 , 精装 ,28,2018, 板塔结合,0,10,2200000.0,"18,875元/平",近地铁 VR房源 房本满两年 
星汇峰，带装修，电梯，朝南，地铁口物业。,星汇峰,太平镇,3室1厅 ,108.79, 东南 , 简装 ,12,2010, 塔楼,13, 一年前发布,1250000.0,"11,491元/平",VR看装修 房本满五年 随时看房 
采光好，通风好，通风光亮、户型方正实用,珠光御景山水城,江浦街,3室2厅 ,129.07, 东南 , 毛坯 ,32,2014, 塔楼,2, 8个月以前发布,1300000.0,"10,073元/平",VR看装修 房本满五年 随时看房 
荔林春晓 电梯房，视野开阔，户型方正,荔林春晓,太平镇,3室2厅 ,94.56, 东北 , 毛坯 ,18,2016, 塔楼,29, 一年前发布,1000000.0,"10,576元/平",近地铁 VR看装修 房本满两年 随时看房 
精装修双阳台，南北对流，风景好,逸泉山庄,赤草,2室2厅 ,93.99, 南 , 精装 ,15,2010, 塔楼,5, 8个月以前发布,1300000.0,"13,832元/平",近地铁 VR看装修 房本满五年 随时看房 
紫泉翠荔嘉高层园西南向的大户型房子,紫泉翠荔嘉园,太平镇,4室2厅 ,138.0, 西南 , 其他 ,18,2010, 塔楼,3, 一年前发布,1790000.0,"12,972元/平",VR看装修 房本满五年 随时看房 
业主急* 户型方正三房  配套全,星汇峰,太平镇,3室2厅 ,108.0, 西南 , 简装 ,12,2010, 塔楼,1, 一年前发布,1300000.0,"12,038元/平",VR看装修 房本满五年 随时看房 
好山，好水，好身体。空气清新环境优美,富力泉天下,温泉镇,2室1厅 ,83.39, 西北 北 , 精装 ,18,2014, 塔楼,5, 一年前发布,750000.0,"8,994元/平",VR看装修 房本满两年 随时看房 
富力泉天下 3室2厅 南,富力泉天下,温泉镇,3室2厅 ,127.11, 南 , 精装 ,23,2014, 塔楼,0, 10个月以前发布,1200000.0,"9,441元/平",VR看装修 房本满五年 随时看房 
从化温泉财富小镇 富力泉天下 度假养生别墅 休闲之选,富力泉天下,温泉镇,3室2厅 ,190.96, 东南 , 毛坯 ,3,2013, 塔楼,2, 11个月以前发布,2100000.0,"10,998元/平",VR房源 房本满两年 随时看房 
从化温泉富力泉天下 二房带露台 层野山林间满山负离子,富力泉天下,温泉镇,2室1厅 ,81.83, 东北 , 精装 ,18,2013, 塔楼,11, 5个月以前发布,670000.0,"8,188元/平",VR看装修 房本满两年 随时看房 
