合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
白云山下  少有一楼  证过5年  看房方便,大金钟路60号-128号大院,大金钟路,2室2厅 ,58, 西南 , 简装 ,5,1998, 塔楼,0,24,1880000,"32,414元/平",VR看装修 房本满五年 随时看房 
侨德花园 电梯在建 地铁口小区 产权清晰 诚意出手,侨德花园,同德围,2室1厅 ,75.85, 南 , 简装 ,9,1998, 塔楼,2,23,1740000,"22,941元/平",近地铁 VR看装修 房本满五年 随时看房 
小区管理 电梯高层东向 精装修 拎包入住 采光好,百事佳新村A区,景泰,2室2厅 ,74.98, 东南 , 精装 ,7,1996, 板楼,2,27,2350000,"31,342元/平",VR看装修 房本满五年 随时看房 
公路局宿舍 楼层适中 采光好 装修用材精品 公摊少,公路局宿舍,新市,2室1厅 ,61.98, 东 , 简装 ,8,1993, 塔楼,2,24,1170000,"18,878元/平",VR看装修 房本满五年 随时看房 
云西小区  精装修电梯三房   看房方便 配套齐全,云西小区,景泰,3室1厅 ,77.58, 南 北 , 精装 ,8,1996, 塔楼,0,22,2550000,"32,870元/平",VR看装修 房本满五年 随时看房 
店长推荐：云裳丽影  实用中高层望花园三房两卫,云裳丽影,同和,3室2厅 ,95.45, 西北 , 简装 ,20,2012, 塔楼,3,17,4500000,"47,146元/平",近地铁 VR房源 房本满五年 随时看房 
满五少税 阳台望花园 厅方正 房间大,倚绿山庄,同和,2室2厅 ,66.38, 东南 , 简装 ,6,2000, 塔楼,3,17,2300000,"34,649元/平",近地铁 VR房源 房本满五年 随时看房 
业主全新装修，南北对流，带大阳台，随时可看,万科蓝山,南湖,3室1厅 ,145.67, 南 北 , 精装 ,18,2007, 塔楼,13, 3个月以前发布,3600000,"24,714元/平",VR看装修 房本满两年 随时看房 
房屋...格局方正实用，采光通透，位置安静,江南世家,南湖,6室2厅 ,257.68, 东 东南 , 简装 ,5,2005, 板楼,20, 5个月以前发布,7600000,"29,494元/平",VR房源 房本满五年 随时看房 
产权清晰 看花园 格局方正采光好 有钥匙看房方便,祥景花园AC区,黄石,2室1厅 ,55.9, 东南 东北 , 简装 ,9,1999, 塔楼,69, 一年前发布,1090000,"19,500元/平",VR房源 房本满五年 随时看房 
白天鹅花园 精装实用南向两房 过五唯一 业主诚心,白天鹅花园,沙太北,2室1厅 ,89.01, 南 , 精装 ,17,2008, 塔楼,51, 一年前发布,2950000,"33,143元/平",VR看装修 房本满五年 随时看房 
黄石花园  全新装修 单边位 实用高 小三房,黄石花园,黄石,3室1厅 ,60.46, 东南 , 精装 ,8,1997, 塔楼,25, 2个月以前发布,1630000,"26,960元/平",VR看装修 房本满五年 随时看房 
户型方正 采光好 出行便利 配套齐全,飞鹅西路,桂花岗,2室1厅 ,40.91, 南 , 精装 ,8,1995, 塔楼,61, 一年前发布,1110000,"27,133元/平",VR看装修 房本满五年 随时看房 
景泰新村 中层三房  户型方正 采光通风  精装修,景泰新村,景泰,3室1厅 ,70.62, 东 , 精装 ,8,1992, 塔楼,18, 3个月以前发布,1940000,"27,471元/平",VR房源 房本满五年 随时看房 
岭南正规大四房 安静看花园 满五不唯一,岭南新世界,嘉禾望岗,4室2厅 ,132.34, 东北 , 精装 ,18,2008, 塔楼,25, 3个月以前发布,5530000,"41,787元/平",VR房源 房本满五年 随时看房 
云苑新村 电梯高层 舒适四房 南向视野好 空间可塑性高,广园云苑新村,景泰,4室1厅 ,131.19, 南 , 简装 ,9,1999, 塔楼,8, 一年前发布,3100000,"23,630元/平",VR房源 房本满五年 随时看房 
紫薇花园 电梯大三房 南北对流 一梯两户 采光好,紫薇花园,新市,3室2厅 ,111.52, 南 北 , 简装 ,11,2006, 塔楼,3, 1个月以前发布,3700000,"33,178元/平",VR看装修 房本满五年 随时看房 
富力桃园 A区单边位两房 无遮挡视野开阔 装修保养好,富力桃园,罗冲围,2室1厅 ,77, 北 , 简装 ,32,2004, 塔楼,0, 1个月以前发布,2560000,"33,247元/平",VR看装修 房本满五年 随时看房 
新世界锦云峰 中高层南向三房 业主包增值税 产权清晰,岭南新世界锦云峰,嘉禾望岗,3室2厅 ,95.04, 南 , 精装 ,30,2013, 塔楼,1, 1个月以前发布,4790000,"50,400元/平",近地铁 VR看装修 房本满两年 随时看房 
嘉柏居 电梯3房 南向带主套 满五年 无抵押,嘉柏居,同德围,3室2厅 ,92.13, 南 , 简装 ,12,2000, 塔楼,21, 6个月以前发布,2920000,"31,695元/平",近地铁 VR房源 房本满两年 随时看房 
泽德花苑，小区环境好管理好，近地铁，房子实用率高,泽德花苑,同德围,2室1厅 ,62.2, 西北 , 简装 ,9,1998, 塔楼,41, 一年前发布,1180000,"18,972元/平",近地铁 VR房源 房本满五年 随时看房 
机场西 金迪城市花园  电梯南向两房  新装修,金迪城市花园,机场路,2室1厅 ,62.54, 东 南 西 , 精装 ,15,1995, 塔楼,0, 1个月以前发布,1890000,"30,221元/平",近地铁 VR房源 房本满两年 随时看房 
紫荆花园电梯三房，双阳台，户型好，光线充足,紫荆花园,新市,3室1厅 ,85.71, 东 北 , 简装 ,12,2000, 塔楼,16, 4个月以前发布,2390000,"27,885元/平",VR看装修 房本满五年 随时看房 
户型方正 厅出阳台 电梯两房 满五年,粮油宿舍,机场路,2室1厅 ,74.85, 北 , 简装 ,9,1996, 塔楼,1, 一年前发布,1590000,"21,243元/平",VR房源 房本满两年 随时看房 
店长推荐 同和地铁口方正三房 视野宽阔采光充足,云东小区,同和,3室1厅 ,87.31, 西 , 精装 ,9,1997, 塔楼,10, 2个月以前发布,2050000,"23,480元/平",近地铁 VR看装修 房本满五年 随时看房 
春兰花园 精装温馨大两房  安静望花园,广信春兰花园,京溪,2室2厅 ,71.66, 东北 , 精装 ,9,1995, 塔楼,8, 8个月以前发布,2300000,"32,097元/平",近地铁 VR看装修 房本满五年 随时看房 
白云畔山花园.近地铁.精装修.过五唯一.步梯中层.,白云畔山花园,梅花园,2室1厅 ,78.35, 东北 , 精装 ,8,2003, 塔楼,107, 5个月以前发布,2150000,"27,441元/平",近地铁 VR房源 房本满五年 随时看房 
景泰新村  精装两房  户型方正，实用率高,景泰新村,景泰,2室1厅 ,35.81, 南 , 精装 ,7,1992, 塔楼,10, 2个月以前发布,1220000,"34,069元/平",VR看装修 房本满两年 随时看房 
阳台看园区中轴线园林湖景，视线开阔，布局方正舒适,富力城南区,夏茅,3室2厅 ,83.32, 西南 西北 , 简装 ,18,2005, 塔楼,9, 2个月以前发布,2280000,"27,365元/平",VR看装修 房本满五年 随时看房 
满五，格局方正，视野开阔采光足，白云山下配套熟,同和云苑新村,同和,3室1厅 ,88.77, 东 , 精装 ,8,2000, 塔楼,142, 9个月以前发布,2100000,"23,657元/平",近地铁 VR看装修 房本满五年 随时看房 
合一国际 复式三房两卫 业主承担增值税,合一国际,同和,3室1厅 ,51.8, 北 , 简装 ,18,2003, 塔楼,24, 2个月以前发布,2520000,"48,649元/平",近地铁 VR房源 房本满两年 随时看房 
榕溪花园  2室  格局好  采光充足  保养新  出行方便,榕溪花园,石井,2室2厅 ,79.08, 西南 , 简装 ,8,1996, 塔楼,0,31,1430000,"18,083元/平",近地铁 VR看装修 房本满五年 随时看房 
华乐小区  京溪地  铁   户型方正南北对流,华乐药厂干部楼,京溪,3室2厅 ,68.23, 东南 , 精装 ,7,1999, 塔楼,0, 4个月以前发布,2480000,"36,348元/平",近地铁 VR看装修 房本满五年 随时看房 
11号线地铁2023年底开通，东南向户型方正，,花季小区,桂花岗,2室1厅 ,79.64, 东 南 北 , 简装 ,14,2000, 塔楼,15, 2个月以前发布,2780000,"34,908元/平",近地铁 VR看装修 房本满五年 随时看房 
精装三房，电梯高层，有天台可以使用,侨德花园,同德围,3室1厅 ,66.98, 南 , 精装 ,9,1998, 塔楼,0, 1个月以前发布,2230000,"33,294元/平",近地铁 VR房源 房本满五年 随时看房 
满五唯一，楼层好，无暗房使用率高，业主急卖！,祥景花园AC区,黄石,2室1厅 ,45.26, 北 , 精装 ,9,1999, 塔楼,15, 2个月以前发布,1260000,"27,840元/平",VR房源 房本满五年 随时看房 
白天鹅花园东向、朝花园户型，方正三房，居住舒适,白天鹅花园,沙太北,3室2厅 ,91.89, 东南 , 简装 ,17,2008, 塔楼,14, 4个月以前发布,3550000,"38,634元/平",VR看装修 房本满五年 随时看房 
南湖半岛花园  高层视野开阔  急卖 随时看房,雅居乐南湖半岛花园,南湖,3室1厅 ,144.51, 北 , 精装 ,18,2003, 塔楼,25, 7个月以前发布,5300000,"36,676元/平",VR房源 房本满五年 随时看房 
云逸全新大三房，房间全部南向，高楼层采光好视野开阔,新世界云逸,嘉禾望岗,3室2厅 ,124.39, 南 , 精装 ,28,2018, 塔楼,25, 一年前发布,7100000,"57,079元/平",近地铁 VR房源 房本满两年 随时看房 
房子楼龄新，保养好，空气好，小区居住舒适度高。,星汇金沙花园,金沙洲,3室2厅 ,95.89, 东南 , 精装 ,25,2014, 塔楼,189, 6个月以前发布,2850000,"29,722元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯三房，通风采光好，满五唯一,镇泰楼,新市,3室1厅 ,68.8, 东 , 精装 ,9,2011, 塔楼,59, 一年前发布,1560000,"22,675元/平",VR看装修 房本满五年 随时看房 
双套房，三房一厅，新装修，南北对流开阳,同和云苑新村,同和,3室1厅 ,68.35, 南 , 精装 ,8,2000, 塔楼,7, 1个月以前发布,1790000,"26,189元/平",近地铁 VR看装修 房本满五年 随时看房 
中海金沙馨园二期 三房两卫 全是南向 望花园 满五唯一,中海金沙馨园二期西区,金沙洲,3室1厅 ,97.81, 南 , 精装 ,18,2008, 塔楼,31, 3个月以前发布,3250000,"33,228元/平",近地铁 VR看装修 房本满五年 随时看房 
房子满5年唯一，电梯房，南向，距离地铁300米,乐得花园,黄边,1室1厅 ,39, 南 , 简装 ,9,2000, 塔楼,1, 1个月以前发布,880000,"22,565元/平",VR看装修 房本满五年 随时看房 
户型方正实用三房，装修新，可做小商铺,黄石花园,黄石,3室2厅 ,70.87, 东 , 精装 ,8,1997, 塔楼,6, 5个月以前发布,1660000,"23,424元/平",VR看装修 房本满五年 随时看房 
蓝湾B区大三房满五免重税无户口按揭产户型方正有钥匙,金域蓝湾,金沙洲,3室1厅 ,102.96, 东北 , 精装 ,25,2008, 塔楼,283, 6个月以前发布,4320000,"41,959元/平",近地铁 VR看装修 房本满五年 随时看房 
岭南大三房 东边单边位  满五唯一 安静望花园,岭南新世界,嘉禾望岗,3室2厅 ,119.43, 南 北 , 精装 ,18,2008, 塔楼,22, 6个月以前发布,5200000,"43,541元/平",近地铁 VR房源 房本满五年 随时看房 
机场路 海德花园 电梯精致两房 格局方正 采光好通风,海德花园,新市,2室2厅 ,69.64, 南 , 其他 ,11,1999, 塔楼,39, 11个月以前发布,1640000,"23,550元/平",VR看装修 房本满五年 随时看房 
青花南湖，望湖大三房产权满五年唯一税费少，业主急抛,南湖半山东苑,南湖,3室2厅 ,114.75, 西南 , 精装 ,28,2005, 塔楼,22, 一年前发布,2870000,"25,011元/平",VR房源 房本满五年 随时看房 
金域蓝湾 金沙洲 东南向望花园  采光通风好 近地铁,金域蓝湾,金沙洲,3室2厅 ,101.68, 东南 , 精装 ,25,2008, 塔楼,13, 7个月以前发布,4350000,"42,782元/平",近地铁 VR看装修 房本满五年 随时看房 
星汇金沙雅筑 正地铁盘  四房中层南向看花园 安静满五,星汇金沙雅筑,金沙洲,4室2厅 ,152.46, 东南 , 精装 ,32,2013, 塔楼,0, 1个月以前发布,5850000,"38,371元/平",近地铁 VR看装修 房本满五年 随时看房 
汇海东南向大三房  一线江景 保养好 看房随时约,保利西海岸汇海花园,金沙洲,3室2厅 ,96.26, 东南 , 精装 ,15,2010, 塔楼,65, 一年前发布,3320000,"34,490元/平",VR看装修 房本满五年 随时看房 
汇侨北区电梯两房，朝南，带个小平台,汇侨新城北区,新市,2室1厅 ,69.58, 南 , 精装 ,17,2000, 塔楼,16, 3个月以前发布,1590000,"22,852元/平",VR看装修 房本满五年 随时看房 
白云雅苑 低层三房 增双大阳台  高套内面积  园林小区,白云雅苑,同德围,3室1厅 ,62, 南 , 简装 ,9,2006, 塔楼,9, 7个月以前发布,1520000,"24,517元/平",近地铁 VR看装修 房本满五年 随时看房 
富力半岛花园 两房改三房 西南向  满五唯一省个税,富力半岛花园,罗冲围,3室1厅 ,81.21, 西南 , 简装 ,22,2005, 塔楼,20, 3个月以前发布,2980000,"36,695元/平",VR看装修 房本满五年 
心谊交警宿舍 电梯高层 满五唯一 采光通风好,心谊交警宿舍,机场路,2室2厅 ,88.37, 东 西 , 精装 ,15,1997, 塔楼,1, 2个月以前发布,2780000,"31,459元/平",VR看装修 房本满五年 
乐得花园 3室1厅 东南,乐得花园,黄边,3室1厅 ,80.87, 东南 , 精装 ,14,2000, 塔楼,4, 1个月以前发布,2130000,"26,339元/平",VR房源 房本满五年 
合一国际 满五唯一 地铁口三房 精装拎包入住 诚心放卖,合一国际,同和,3室1厅 ,51.41, 东北 , 精装 ,18,2006, 塔楼,27, 6个月以前发布,2760000,"53,687元/平",近地铁 VR房源 房本满五年 
翠逸家园南向3房厅直出阳台电梯中层全明屋采光通风好,翠逸家园,机场路,3室1厅 ,93.39, 东南 , 精装 ,17,2000, 塔楼,18, 9个月以前发布,3490000,"37,371元/平",近地铁 VR房源 房本满五年 
实用2房，厅出阳台，采光好，户型方正实用,瑞晖花园,石井,2室1厅 ,54.28, 西南 , 精装 ,6,1990, 塔楼,46, 7个月以前发布,1000000,"18,423元/平",VR看装修 房本满两年 
温馨电梯3房改4房南北对流双阳台 天台可花园 各付各税,云西小区,景泰,3室2厅 ,93.33, 南 , 简装 ,7,1996, 塔楼,52, 8个月以前发布,3200000,"34,287元/平",VR房源 房本满两年 
金碧新城  2室  南向  电梯 好楼层  配套齐 居住舒适,金碧新城,石井,2室2厅 ,68.88, 东南 , 精装 ,18,2005, 塔楼,37, 8个月以前发布,2040000,"29,617元/平",VR看装修 房本满五年 
机场西腾龙阁电梯3房厅出阳台南向户型方正近地铁公交,腾龙阁,机场路,3室2厅 ,85.15, 南 , 精装 ,14,1999, 塔楼,19, 5个月以前发布,2800000,"32,884元/平",近地铁 VR看装修 房本满两年 
富力桃园精装两房 西南向望花园 中高层视野开阔,富力桃园,罗冲围,2室2厅 ,80.69, 西南 , 精装 ,30,2007, 塔楼,11, 7个月以前发布,2850000,"35,321元/平",VR房源 房本满五年 
精装电梯三房 带大平台 花园小区 近地铁,金迪城市花园,机场路,3室1厅 ,62.31, 北 , 精装 ,15,1995, 塔楼,107, 5个月以前发布,1930000,"30,975元/平",近地铁 VR看装修 房本满五年 随时看房 
准电梯房，单边位，通风采光好，中间楼层,乐得花园,黄边,2室1厅 ,64.36, 东北 , 简装 ,9,2000, 塔楼,0, 4个月以前发布,1680000,"26,104元/平",VR房源 房本满两年 随时看房 
高尔夫东区 南向三房 望小区 无遮挡 可随时交易,白云高尔夫花园东区,黄石,3室2厅 ,93.96, 南 , 简装 ,12,2004, 塔楼,5, 1个月以前发布,3380000,"35,973元/平",VR看装修 房本满五年 随时看房 
黄石花园 电梯中层三房  安静不吵 装修新,黄石花园,黄石,3室2厅 ,84.89, 东北 , 精装 ,8,1997, 塔楼,15, 2个月以前发布,2280000,"26,859元/平",VR房源 房本满五年 随时看房 
满五年唯一 业主自己住 小三房 格局方正 棠溪菜市场,聚芳园,机场路,3室1厅 ,74.43, 西南 , 简装 ,9,2000, 塔楼,18, 一年前发布,1210000,"16,257元/平",VR看装修 房本满五年 随时看房 
此房精装修，实用三房，中层，光线好,嘉华苑,机场路,3室1厅 ,72.13, 南 , 精装 ,9,1995, 塔楼,21, 2个月以前发布,1860000,"25,787元/平",VR看装修 房本满两年 随时看房 
云苑新村  高层南向 电梯已开工 预计年底投入使用,广园云苑新村,景泰,2室1厅 ,67.54, 南 , 简装 ,9,1999, 塔楼,1, 1个月以前发布,1790000,"26,503元/平",VR房源 房本满两年 随时看房 
富力阳光美居 八月过五年 中层看花园 有钥匙随时看房,富力阳光美居,马务,2室2厅 ,63.14, 南 , 简装 ,11,2001, 塔楼,40, 6个月以前发布,1900000,"30,092元/平",VR看装修 房本满五年 随时看房 
汇侨新城北区  厅出阳台中楼层两房,汇侨新城北区,新市,2室1厅 ,61.78, 西 , 简装 ,17,2000, 塔楼,29, 5个月以前发布,1638000,"26,514元/平",VR看装修 房本满五年 随时看房 
云东花园 电梯高层三房 东南向 格局方正 采光好,云东花园,景泰,3室2厅 ,99.06, 东南 , 简装 ,9,1998, 塔楼,3, 1个月以前发布,2800000,"28,266元/平",VR房源 房本满五年 随时看房 
3楼，楼层适中，南北对流，少有放盘！,云顶花园,机场路,3室1厅 ,82.32, 南 北 , 简装 ,9,1998, 塔楼,115, 一年前发布,1880000,"22,838元/平",近地铁 VR看装修 房本满五年 随时看房 
满五年电梯高层 方正两房 采光通风好,机安宿舍,机场路,2室1厅 ,64.4, 东南 , 简装 ,16,1995, 塔楼,3, 6个月以前发布,1500000,"23,292元/平",VR房源 房本满五年 随时看房 
电梯高层 全新精装修 近地铁 拎包入住,春暖花园,机场路,2室1厅 ,46.41, 西 , 精装 ,9,1995, 塔楼,69, 4个月以前发布,1380000,"29,735元/平",近地铁 VR看装修 房本满五年 随时看房 
颐和上院 方正三房带主套 诚意放卖,颐和上院二期,白云大道南,3室1厅 ,147.48, 西北 , 简装 ,9,2006, 塔楼,2, 1个月以前发布,6400000,"43,396元/平",VR房源 房本满两年 随时看房 
近地铁，装修好，交通方便， 环境好，闹中取静,白云畔山花园,梅花园,2室2厅 ,76.94, 东北 , 精装 ,10,2003, 塔楼,81, 5个月以前发布,2490000,"32,363元/平",近地铁 VR房源 房本满五年 随时看房 
金碧雅苑 南向安静 厅出阳台两居室 私密性好,金碧雅苑,黄边,2室2厅 ,65.55, 南 , 精装 ,11,2003, 塔楼,39, 5个月以前发布,2880000,"43,936元/平",近地铁 VR房源 房本满五年 随时看房 
