西门口版块 中层精装三房 东南朝向 拎包入住,光复北路,龙津,3室1厅 ,73.38, 东 南 , 精装 ,10,1995, 板楼,0,5,2300000.0,"31,344元/平",VR看装修 房本满两年 随时看房 
陈家祠板块，条形转外墙楼龄新，准电梯两房,金花小区,西华路,2室1厅 ,61.24, 东 , 其他 ,9,2003, 塔楼,33, 4个月以前发布,1750000.0,"28,577元/平",VR看装修 房本满五年 随时看房 
富力环市西苑 细面积少有放盘 上车盘热烈推荐！总低,富力环市西苑,西村,2室1厅 ,50.99, 北 , 精装 ,14,2000, 塔楼,67, 10个月以前发布,2680000.0,"52,560元/平",近地铁 VR看装修 房本满五年 随时看房 
合兴苑 准电梯两房 中层单位 小户型 刚需上车盘,合兴苑,花地湾,2室1厅 ,57.82, 北 , 简装 ,7,1997, 板楼,21, 2个月以前发布,1350000.0,"23,349元/平",近地铁 VR房源 房本满五年 随时看房 
富力D区 东南北向四房 双阳台 中层单位 少有放盘,富力广场D区,中山八,4室2厅 ,103.55, 东 北 , 其他 ,26,2005, 塔楼,5, 1个月以前发布,4980000.0,"48,093元/平",近地铁 VR看装修 房本满五年 随时看房 
珠岛花园 一房一厅有电梯 满五唯一,珠岛花园,大坦沙,1室1厅 ,34.79, 西 , 精装 ,9,1995, 板塔结合,7, 6个月以前发布,1150000.0,"33,056元/平",近地铁 VR看装修 房本满五年 随时看房 
荔新大厦 商品房 协和 地铁口 安静舒适 条形砖外墙,荔新大厦,西村,1室1厅 ,40.59, 东 东南 , 精装 ,9,1997, 塔楼,3, 7个月以前发布,1870000.0,"46,071元/平",近地铁 VR房源 房本满两年 随时看房 
电梯平层  省级西外  全明屋  带天台花园,周门小区中兴苑,周门,4室1厅 ,77.72, 东南 北 , 精装 ,9,1998, 塔楼,12, 3个月以前发布,3250000.0,"41,817元/平",VR房源 房本满两年 随时看房 
【电梯小区三房】【东北无遮挡带主套】【配套成熟】,荔湾广场,人民路,3室1厅 ,95.53, 东北 , 简装 ,30,2000, 板塔结合,22, 5个月以前发布,2280000.0,"23,867元/平",近地铁 VR房源 房本满五年 随时看房 
全明户型电梯靓屋近中八地铁口 生活配套成熟交通便利,周门小区中兴苑,周门,4室2厅 ,76.82, 东 南 北 , 精装 ,9,1998, 塔楼,147, 6个月以前发布,3250000.0,"42,307元/平",近地铁 VR看装修 房本满两年 随时看房 
文昌南路 3室1厅 东南,文昌南路,西关,3室1厅 ,71.71, 东南 , 简装 ,9,1988, 塔楼,1, 1个月以前发布,1800000.0,"25,102元/平",VR看装修 房本满两年 随时看房 
合兴苑小区 实用小两房 低层单位 有匙即看,合兴苑,花地湾,2室1厅 ,56.82, 东南 , 简装 ,8,1997, 板楼,3, 2个月以前发布,1500000.0,"26,400元/平",近地铁 VR房源 房本满五年 随时看房 
金花小区 中层单位 单边位 采光好,金花小区,西华路,2室1厅 ,68.8, 东北 , 精装 ,8,2003, 塔楼,14, 6个月以前发布,2600000.0,"37,791元/平",近地铁 VR看装修 房本满五年 随时看房 
小康人家大两房，满五年唯一，户型方正，配套齐全,小康人家,坑口,2室1厅 ,89.46, 西北 , 简装 ,19,2002, 塔楼,7, 2个月以前发布,2550000.0,"28,505元/平",近地铁 VR房源 房本满两年 随时看房 
万科金色荔苑 房楼龄新净，户型通透，采光视野好,万科金色荔苑,龙津,3室2厅 ,127.55, 南 北 , 精装 ,32,2006, 板塔结合,6, 6个月以前发布,7880000.0,"61,780元/平",近地铁 VR看装修 房本满五年 随时看房 
急出！原装电梯小区全新装修3房，楼龄新靠地铁,骏业阁,西关,3室1厅 ,123.52, 南 , 精装 ,25,2008, 塔楼,6, 9个月以前发布,4600000.0,"37,241元/平",近地铁 VR看装修 房本满五年 随时看房 
富力T区，东南三房带主套，方正户型，满五唯一,富力广场T区,中山八,3室2厅 ,96.43, 东南 南 东 , 精装 ,26,2005, 塔楼,4, 1个月以前发布,5200000.0,"53,926元/平",VR看装修 房本满五年 随时看房 
元邦明月水岸 高楼层 采光好 江边 大三房,元邦明月水岸,西朗,3室2厅 ,113.76, 西南 , 简装 ,30,2015, 塔楼,3, 1个月以前发布,3850000.0,"33,844元/平",近地铁 VR看装修 房本满两年 
西村地铁    高层大两房  自住,长乐花苑二期,西村,2室1厅 ,94.4, 西南 , 精装 ,32,2012, 塔楼,22, 5个月以前发布,3580000.0,"37,924元/平",近地铁 VR看装修 房本满五年 
富力广场 户型好 平层电梯 厅直出双阳台两房 安家好房,富力广场A区,中山八,2室1厅 ,60.21, 西南 , 简装 ,9,2005, 塔楼,42, 5个月以前发布,2990000.0,"49,660元/平",近地铁 VR看装修 房本满五年 
此房证满五年.电梯中层、采光通风好，出行便利近地铁,红棉苑北区,花地湾,3室2厅 ,120.0, 东 , 精装 ,11,2000, 塔楼,0, 1个月以前发布,4380000.0,"36,500元/平",近地铁 VR看装修 房本满五年 
满五唯一，户型方正，精装修三房,芳村大道西,滘口,3室1厅 ,73.14, 东南 , 精装 ,9,1988, 塔楼,100, 9个月以前发布,1450000.0,"19,825元/平",近地铁 VR看装修 房本满五年 
过五 精致两房 户型靓 采光好,金道花园,鹤洞,2室1厅 ,41.0, 北 , 精装 ,9,2000, 塔楼,48, 4个月以前发布,1280000.0,"31,220元/平",近地铁 VR房源 房本满两年 
周门西街两房一厅南向，通风采光装修好。,周门小区周门西街,周门,2室1厅 ,61.61, 东南 , 精装 ,9,1998, 塔楼,33, 5个月以前发布,1730000.0,"28,080元/平",VR看装修 房本满五年 
岭南物业，电梯小区，中高层南向看花园，南北对流,岭南湾畔,西村,2室1厅 ,81.16, 南 , 精装 ,32,2010, 塔楼,0, 1个月以前发布,4580000.0,"56,432元/平",近地铁 VR看装修 房本满五年 
电梯两房好改三房 满五唯一无抵押 生活便利交通方便,桥东小区,滘口,2室2厅 ,63.6, 东北 , 简装 ,9,1995, 塔楼,133, 一年前发布,1800000.0,"28,302元/平",近地铁 VR看装修 房本满五年 
逸彩庭院二期电梯2房，东南向，带小平台，诚心卖！,新世界逸彩庭园,滘口,2室1厅 ,71.19, 东南 , 其他 ,20,2007, 塔楼,70, 8个月以前发布,2650000.0,"37,225元/平",近地铁 VR房源 房本满五年 
证够五年 东南向 景观开阳无遮挡 近地铁400米,恒荔湾畔,芳村,2室1厅 ,74.35, 东南 , 精装 ,31,2008, 塔楼,29, 5个月以前发布,3800000.0,"51,110元/平",近地铁 VR房源 房本满五年 
力诚欣悦湾 次新楼龄 低密度小区 刚需小三房 双阳台,力诚欣悦湾,茶滘,3室2厅 ,90.05, 东北 , 精装 ,31,2018, 塔楼,14, 10个月以前发布,3580000.0,"39,756元/平",VR看装修 房本满两年 
花语水岸 南向3房带主套 通风采光好,花语水岸,大坦沙,3室2厅 ,108.28, 南 , 精装 ,26,2015, 塔楼,10, 6个月以前发布,5280000.0,"48,763元/平",近地铁 VR看装修 房本满五年 
满五唯一 北向 楼间距宽 双地铁 采光好 看江 看花园,花语水岸,大坦沙,3室2厅 ,90.34, 北 , 精装 ,26,2015, 塔楼,42, 6个月以前发布,4850000.0,"53,687元/平",近地铁 VR看装修 房本满五年 
：唐宁花园 一手购入 温馨舒适 交通生活十分便利,富力唐宁花园,西村,4室2厅 ,178.77, 南 北 , 精装 ,31,2012, 塔楼,4, 2个月以前发布,8450000.0,"47,268元/平",VR看装修 房本满两年 
高层一线江景 悦江上品 次新南向大三房 大阳台保养新,悦江上品苑,大坦沙,3室2厅 ,116.75, 东南 南 , 精装 ,26,2016, 塔楼,10, 2个月以前发布,6250000.0,"53,534元/平",近地铁 VR看装修 房本满两年 
西关海江景大平层 视野开阔 双主套精装修 过五年唯一,西关海,南岸路,4室2厅 ,249.58, 东南 , 精装 ,49,2012, 塔楼,154, 6个月以前发布,16500000.0,"66,112元/平",近地铁 VR房源 房本满五年 
自住保养好 满五唯一 中高楼层 采光通风佳 居住舒适,长乐花苑二期,西村,3室1厅 ,116.89, 东南 , 精装 ,32,2010, 塔楼,14, 3个月以前发布,4650000.0,"39,781元/平",近地铁 VR看装修 房本满五年 
万科金色康苑 中高层6地铁交汇 花园品质楼盘 视野开阔,万科金色康苑,陈家祠,3室2厅 ,123.41, 东南 , 精装 ,31,2008, 塔楼,0, 1个月以前发布,7910000.0,"64,096元/平",VR看装修 房本满五年 
此房满五唯一，少有户型，中层望花地河视野舒服,保利公园九里,龙溪,3室2厅 ,108.44, 北 , 精装 ,32,2014, 塔楼,20, 6个月以前发布,4420000.0,"40,760元/平",VR看装修 房本满五年 
封闭式小区管理，次新房，交通便利，配套完善,元邦明月水岸,西朗,3室2厅 ,100.68, 东南 , 精装 ,11,2015, 塔楼,65, 6个月以前发布,3300000.0,"32,778元/平",近地铁 VR看装修 房本满两年 
南岸路三房主套 望江户型  业主自住保养好 方正实用,荔港南湾H区,南岸路,3室2厅 ,99.5, 东北 , 精装 ,28,2008, 塔楼,80, 一年前发布,4390000.0,"44,121元/平",近地铁 VR看装修 房本满两年 
桥东小区！电梯两房！安静望小区！满五不唯一税费低！,桥东小区,滘口,2室1厅 ,71.37, 东北 , 简装 ,9,1995, 塔楼,82, 一年前发布,1690000.0,"23,680元/平",近地铁 VR看装修 房本满五年 随时看房 
新世界凯粤湾 东南向 采光日照好 电梯高层 户型实用,新世界凯粤湾,滘口,3室1厅 ,94.43, 东南 , 精装 ,33,2019, 塔楼,53, 5个月以前发布,4280000.0,"45,325元/平",VR看装修 房本满两年 随时看房 
高层南向 视野开阔 望江 通透对流 全天光照无遮挡,花语水岸,大坦沙,3室2厅 ,88.75, 东南 , 精装 ,26,2015, 塔楼,56, 一年前发布,4880000.0,"54,986元/平",近地铁 VR看装修 房本满两年 随时看房 
西南看江三房 户型方正 产权清晰 闹中取静,岭南湾畔,西村,3室1厅 ,100.96, 西南 , 精装 ,32,2010, 塔楼,21, 8个月以前发布,5600000.0,"55,468元/平",近地铁 VR看装修 房本满两年 随时看房 
楼龄新 过5唯一 主套改成衣帽间 装修新保养好,丰年华庭,茶滘,3室2厅 ,105.19, 北 , 精装 ,15,2008, 板楼,67, 一年前发布,3500000.0,"33,274元/平",近地铁 VR看装修 房本满五年 随时看房 
凯粤湾南向看花园两房，五号线，交通便利配套齐全,新世界凯粤湾,滘口,2室1厅 ,75.61, 南 西南 , 精装 ,33,2015, 塔楼,9, 1个月以前发布,3550000.0,"46,952元/平",近地铁 VR看装修 房本满两年 随时看房 
震撼！品质小区 地铁上‘’盖 望花园景观房，满五省税,逸翠湾,黄沙,2室1厅 ,90.5, 东 西 西北 北 , 精装 ,45,2009, 塔楼,2, 2个月以前发布,5150000.0,"56,907元/平",VR看装修 房本满五年 随时看房 
新世界凯粤湾 高层 望江 小三房,新世界凯粤湾,滘口,3室2厅 ,92.0, 东北 , 简装 ,33,2019, 塔楼,115, 一年前发布,4490000.0,"48,805元/平",VR看装修 房本满两年 随时看房 
陈家祠 电梯精装两房 收租 自住好选择 满五,新光城市广场,龙津,2室1厅 ,37.3, 东 , 精装 ,20,2003, 塔楼,2,25,1880000.0,"50,403元/平",近地铁 VR看装修 房本满五年 随时看房 
十八甫南路 1室1厅 南,十八甫南路,和平西,1室1厅 ,35.07, 南 , 其他 ,6,1988, 塔楼,5,20,540000.0,"15,398元/平",近地铁 VR看装修 房本满五年 随时看房 
六号线如意坊路 江边电梯平层  两房单位,果品公司宿舍,黄沙,2室1厅 ,43.23, 南 北 , 其他 ,8,1999, 塔楼,1,18,1300000.0,"30,072元/平",近地铁 VR看装修 房本满两年 随时看房 
电梯在使用，满五唯一，双阳台全明屋，可以三房,周门小区周门街,周门,2室2厅 ,84.76, 西北 北 , 简装 ,9,1998, 平房,0,24,3090000.0,"36,456元/平",近地铁 VR看装修 房本满五年 随时看房 
耀华社区 独栋别墅 室内电梯 已重建 三房三露台,耀华社区耀华三约,西关,3室1厅 ,67.02, 南 , 精装 ,1,2022, 板楼,2,20,3380000.0,"50,433元/平",近地铁 VR房源 房本满五年 随时看房 
楼龄新近地铁 元邦明月星辉四房高层 户型对流实用,元邦明月星辉,龙津,4室2厅 ,112.61, 西 , 精装 ,25,2011, 塔楼,0,29,4900000.0,"43,514元/平",近地铁 VR看装修 房本满五年 
陈家祠地铁站 电梯两房 双阳台 满五年,美荔心筑,龙津,2室1厅 ,74.59, 西 西北 北 , 精装 ,25,2003, 塔楼,2,19,3400000.0,"45,583元/平",VR看装修 房本满五年 
金宇花园 电梯房 采光好 中高楼层 小区绿化高,金宇花园,东塱,2室2厅 ,63.85, 东 , 简装 ,9,1998, 塔楼,2,28,1700000.0,"26,625元/平",VR房源 房本满五年 
美荔心筑 2室1厅 北,美荔心筑,龙津,2室1厅 ,35.75, 北 , 其他 ,25,2003, 塔楼,2,30,1650000.0,"46,154元/平",近地铁 VR看装修 房本满两年 
电梯两房，证满五年唯一，地铁11号线在楼下交通方便,芳华苑,芳村,2室2厅 ,61.45, 西 , 其他 ,9,1999, 塔楼,3,20,1790000.0,"29,130元/平",VR看装修 房本满五年 
金兰苑 电梯二房二厅 户型方正实用 带精装拎包入住,金兰苑,汾水,2室2厅 ,54.84, 东 , 简装 ,8,2001, 塔楼,7,22,1200000.0,"21,882元/平",VR看装修 房本满五年 
环市西苑 业主诚意卖 满五多套 看房方便,富力环市西苑,西村,2室1厅 ,76.69, 北 , 简装 ,14,2000, 塔楼,3,22,3590000.0,"46,812元/平",近地铁 VR房源 房本满五年 
富力广场 高层 南北对流 实用三房,富力广场D区,中山八,3室1厅 ,88.89, 南 北 , 简装 ,26,2005, 塔楼,2,18,4650000.0,"52,312元/平",VR看装修 房本满五年 
桥东小区 两房 封闭式管理 户型方正,芳村大道西,滘口,2室1厅 ,71.67, 东 , 简装 ,9,1994, 塔楼,6, 1个月以前发布,1880000.0,"26,232元/平",近地铁 VR看装修 房本满五年 
封闭式小区管理，次新房，交通便利，配套完善,元邦明月水岸,西朗,3室2厅 ,100.68, 东南 , 精装 ,11,2015, 塔楼,65, 6个月以前发布,3300000.0,"32,778元/平",近地铁 VR看装修 房本满两年 
南岸路三房主套 望江户型  业主自住保养好 方正实用,荔港南湾H区,南岸路,3室2厅 ,99.5, 东北 , 精装 ,28,2008, 塔楼,80, 一年前发布,4390000.0,"44,121元/平",近地铁 VR看装修 房本满两年 
龙津华府  板楼低密度 2016年楼龄 高层无遮挡 乐贤坊,龙津华府,龙津,4室2厅 ,158.4, 东 南 北 , 精装 ,33,2015, 塔楼,38, 4个月以前发布,10100000.0,"63,763元/平",近地铁 VR看装修 房本满五年 
凯粤湾 动静分离人性化设计 大三房二厅 全新末住,新世界凯粤湾,滘口,3室2厅 ,126.28, 东北 , 精装 ,33,2019, 塔楼,2, 2个月以前发布,5300000.0,"41,971元/平",VR看装修 房本满两年 
花语水岸 5/6号双线坦尾站 东北向 中层望花园 采光好,花语水岸,大坦沙,3室2厅 ,87.37, 东北 , 精装 ,26,2015, 塔楼,1, 4个月以前发布,4700000.0,"53,795元/平",近地铁 VR看装修 房本满两年 
丰年华庭 过5唯一，原装电梯南向两房，楼龄新保养好。,丰年华庭,茶滘,2室1厅 ,72.42, 南 , 精装 ,15,2008, 板楼,7, 2个月以前发布,2750000.0,"37,973元/平",近地铁 VR看装修 房本满五年 
东向俩房，楼龄新净，可做公积金，视野开阔,站前路(荔湾),流花站前,2室1厅 ,70.45, 东 , 简装 ,9,1998, 塔楼,7, 3个月以前发布,1680000.0,"23,847元/平",VR看装修 房本满五年 
金兰苑 楼梯中层单位  格局方正  交通方便,金兰苑,汾水,2室1厅 ,64.22, 南 北 , 简装 ,9,2001, 塔楼,6, 7个月以前发布,1350000.0,"21,022元/平",VR看装修 房本满五年 
高层次顶层 通风采光佳 近广佛鹤洞站 11号线鹤洞东站,葛洲坝保利曼城,广钢新城,3室2厅 ,99.9, 西北 , 精装 ,40,2018, 塔楼,102, 一年前发布,4950000.0,"49,550元/平",近地铁 VR看装修 房本满两年 
新世界凯粤湾 电梯中层 安静舒适 采光好,新世界凯粤湾,滘口,3室2厅 ,122.48, 南 , 精装 ,20,2017, 塔楼,34, 4个月以前发布,5450000.0,"44,498元/平",VR看装修 房本满五年 
东南向采光充足，电梯两房，装修保养好，户型方正。,芳泰花园,滘口,2室1厅 ,44.31, 东南 , 精装 ,9,1995, 塔楼,2, 3个月以前发布,1100000.0,"24,826元/平",VR看装修 房本满五年 
20平台私家用露台 交通便利 。。,芳村大道西,滘口,2室1厅 ,42.44, 西南 , 精装 ,9,1988, 塔楼,92, 一年前发布,1180000.0,"27,804元/平",近地铁 VR看装修 房本满两年 
保利塞纳维拉 精致3房 独门独户  中层单位,保利塞纳维拉,龙溪,3室2厅 ,93.77, 东北 , 精装 ,18,2015, 板楼,24, 3个月以前发布,3000000.0,"31,994元/平",VR看装修 房本满五年 
怡芳苑 实用小两房 证够五年税费少 刚需上车盘,怡芳苑,花地湾,2室1厅 ,42.99, 北 东北 , 精装 ,9,1998, 塔楼,2, 2个月以前发布,1300000.0,"30,240元/平",近地铁 VR看装修 房本满五年 
近花地湾地铁站，享受Vanke花地湾项目配套，采光充足,乐怡居,花地湾,2室1厅 ,66.87, 东 , 简装 ,31,1996, 塔楼,1, 1个月以前发布,2250000.0,"33,648元/平",近地铁 VR看装修 房本满五年 
广钢鹤平小区 近地铁 配套完善,广钢鹤平小区,鹤洞,1室1厅 ,39.45, 东南 , 简装 ,6,1997, 板楼,5, 4个月以前发布,760000.0,"19,265元/平",近地铁 VR看装修 房本满五年 随时看房 
双地铁 楼龄新 小区管理 一手业主 税费低 产权清晰,龙锦大厦,龙津,2室1厅 ,83.93, 西南 , 精装 ,31,2008, 塔楼,0,28,4110000.0,"48,970元/平",近地铁 VR看装修 房本满五年 
荔湾笋盘 电梯三房 中高楼层视野开阔 地铁就在家楼下,荔湾广场,人民路,3室1厅 ,95.53, 东北 , 精装 ,30,2000, 板塔结合,1,24,2700000.0,"28,264元/平",近地铁 VR看装修 房本满五年 
中兴苑 东南靓向 电梯平层精装两房独立天台 证过五年,周门小区中兴苑,周门,2室1厅 ,60.1, 东南 , 精装 ,9,1998, 塔楼,3,28,2580000.0,"42,929元/平",近地铁 VR看装修 房本满两年 
满五唯一，东南向，精装修，厅出阳台望花园,富力广场D区,中山八,2室1厅 ,62.29, 南 , 精装 ,22,2005, 塔楼,8,24,3500000.0,"56,189元/平",近地铁 VR看装修 房本满五年 
荔湾路 低层两房 厅出阳台 户型方正,荔湾路,陈家祠,2室1厅 ,52.3, 东南 南 北 , 简装 ,8,1992, 塔楼,51,22,1800000.0,"34,417元/平",近地铁 VR看装修 房本满五年 
西湾路 精装电梯三房 大院管理 近悦汇城 满五年,西湾路,西村,3室2厅 ,64.17, 东南 , 精装 ,9,1995, 塔楼,1,22,2230000.0,"34,752元/平",近地铁 VR房源 
三面单边双阳台大两房，长寿路站旁,逢源路,西关,2室1厅 ,82.12, 西南 , 简装 ,9,1991, 塔楼,3, 2个月以前发布,2100000.0,"25,573元/平",近地铁 VR房源 房本满五年 随时看房 
