豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
天马丽苑二期 实用小三房 南向 保养好  高楼层,天马丽苑二期,铁路西,3室2厅 ,96.23, 南 , 精装 ,33,2013, 塔楼,6, 7个月以前发布,1400000.0,"14,549元/平",VR看装修 房本满两年 随时看房 
祈福万景峰，精装3房望花园，全新未住过，无按揭,祈福万景峰,铁路西,3室2厅 ,91.51, 南 北 , 精装 ,28,2018, 塔楼,1, 1个月以前发布,1680000.0,"18,359元/平",VR房源 房本满两年 随时看房 
满二年，B区精装修四房  高楼层采光通透，业主未住过,广州融创文旅城B3区,花城街,4室2厅 ,116.23, 东南 , 精装 ,33,2018, 塔楼,0, 5个月以前发布,2800000.0,"24,091元/平",VR看装修 房本满两年 随时看房 
地铁口三房 安静看花园 中间楼层 不靠路,祈福天龙苑,铁路西,3室2厅 ,91.41, 北 , 精装 ,27,2014, 塔楼,2, 2个月以前发布,1560000.0,"17,066元/平",近地铁 VR房源 房本满五年 随时看房 
南向大三房 户型方正实用 安静不吵 视野宽阔采光充足,南华时代城,铁路西,3室1厅 ,120.78, 东南 , 毛坯 ,28,2010, 塔楼,4, 2个月以前发布,2050000.0,"16,974元/平",VR房源 房本满五年 随时看房 
地铁口南向精装婚房   置换   业主诚心放卖,南华时代城,铁路西,3室2厅 ,93.79, 南 , 精装 ,31,2010, 塔楼,3, 1个月以前发布,1750000.0,"18,659元/平",VR看装修 房本满两年 随时看房 
电梯房 带私家平台 户型周正南北对流 使用面积高,雅致苑,旧区,4室2厅 ,127.58, 南 , 精装 ,8,2003, 塔楼,25, 10个月以前发布,1750000.0,"13,717元/平",近地铁 VR房源 房本满五年 随时看房 
北站地铁口物业 南向望花园 交通便利,祈福天龙苑,铁路西,3室2厅 ,91.57, 南 , 毛坯 ,28,2014, 塔楼,15, 8个月以前发布,1580000.0,"17,255元/平",近地铁 VR房源 房本满两年 随时看房 
地铁口物业，南向，电梯两房，毛坯,祈福天龙苑,铁路西,2室1厅 ,58.44, 北 , 毛坯 ,28,2014, 塔楼,0, 2个月以前发布,960000.0,"16,428元/平",近地铁 VR房源 房本满两年 随时看房 
电梯房 私家平台60方 五小花都广场地铁600米 配套成熟,银菊花小区,旧区,3室2厅 ,126.96, 南 , 精装 ,7,2000, 板楼,2, 1个月以前发布,1750000.0,"13,784元/平",近地铁 VR看装修 房本满五年 随时看房 
中区优质小区，近地铁，近花都湖公园,日昌豪苑,旧区,3室2厅 ,98.67, 东南 , 精装 ,8,2004, 塔楼,8, 5个月以前发布,1250000.0,"12,669元/平",VR房源 房本满五年 随时看房 
雅居乐万科热橙东南向三房全新没住过，业主诚心放盘,雅居乐万科热橙,花山镇,3室2厅 ,87.2, 东南 , 精装 ,13,2018, 板楼,0, 1个月以前发布,1300000.0,"14,909元/平",VR看装修 房本满两年 随时看房 
雅居乐锦城，两房，北向看广场，视野开阔,雅居乐锦城花冠集,秀全街,2室1厅 ,85.02, 北 , 其他 ,32,2008, 塔楼,0, 4个月以前发布,1200000.0,"14,115元/平",VR房源 房本满五年 随时看房 
融创旁，芙蓉春晓，3房2卫，户型方正实用。,芙蓉春晓,狮岭镇,3室2厅 ,108.13, 南 , 毛坯 ,29,2015, 塔楼,1, 1个月以前发布,1100000.0,"10,173元/平",VR房源 房本满两年 随时看房 
雅宝亚瑟公馆112方南向三房两卫，精装带60方花园。,雅宝新城亚瑟公馆,秀全街,3室2厅 ,112.03, 东南 南 , 精装 ,19,2009, 塔楼,1, 1个月以前发布,1750000.0,"15,621元/平",VR房源 房本满五年 随时看房 
过五年唯一的小三房，户型方正，采光视野很好,富力金港城北区,花东镇,3室2厅 ,98.07, 北 , 简装 ,17,2010, 塔楼,56, 一年前发布,1120000.0,"11,421元/平",VR看装修 房本满五年 随时看房 
雅宝新城 电梯大3房  望花园 环境优美,雅宝新城,秀全街,3室2厅 ,143.95, 北 , 简装 ,12,2003, 塔楼,0, 一年前发布,1700000.0,"11,810元/平",VR房源 房本满五年 随时看房 
花都湖4A景区空气好，刚需小户型电梯3房总¥低,湖畔花园,旧区,3室2厅 ,83.61, 西北 , 精装 ,26,1995, 塔楼,17, 5个月以前发布,920000.0,"11,004元/平",VR看装修 房本满两年 随时看房 
电梯楼，南北对流，通风采光好，双阳台.,银菊花小区,旧区,4室2厅 ,126.96, 南 北 , 精装 ,7,2000, 板楼,1, 2个月以前发布,1660000.0,"13,075元/平",近地铁 VR看装修 房本满五年 随时看房 
豪利花园 南向方正户型  望花园,豪利花园,镜湖大道,3室2厅 ,91.26, 南 , 精装 ,16,2012, 塔楼,54, 3个月以前发布,1750000.0,"19,176元/平",VR看装修 房本满两年 随时看房 
机场板块，祈福聚龙堡。南向2房,祈福聚龙堡,花山镇,2室2厅 ,73.73, 南 , 毛坯 ,11,2017, 塔楼,15, 5个月以前发布,680000.0,"9,223元/平",VR房源 房本满五年 随时看房 
配套成熟，交通方便，看花园安静，视野开阔,祈福辉煌台,铁路西,2室1厅 ,65.66, 东 , 精装 ,28,2007, 塔楼,40, 7个月以前发布,950000.0,"14,469元/平",近地铁 VR房源 房本满五年 随时看房 
南华广场：出门公园地铁站装修保养好带10平方独用露台,南华广场,旧区,3室2厅 ,114.78, 南 , 简装 ,8,2000, 塔楼,3, 2个月以前发布,1385000.0,"12,067元/平",近地铁 VR看装修 房本满五年 随时看房 
元邦三房 南北对流户型 方正实用望山景,元邦山清水秀,狮岭镇,3室2厅 ,118.42, 南 北 , 毛坯 ,28,2018, 塔楼,0, 10个月以前发布,920000.0,"7,769元/平",VR看装修 房本满两年 随时看房 
南向看花园，楼层好，视野宽阔，,祈福辉煌台,铁路西,1室1厅 ,65.43, 南 , 简装 ,28,2008, 塔楼,14, 6个月以前发布,870000.0,"13,297元/平",近地铁 VR房源 房本满五年 随时看房 
3房刚需户型，低税费，南向，带装修,广州融创文旅城A3区,花城街,3室2厅 ,89.53, 南 , 精装 ,33,2016, 塔楼,64, 一年前发布,2000000.0,"22,339元/平",VR看装修 房本满两年 随时看房 
出门即花果山地铁口 锦砖外墙 大三房中间层 位置成熟,银珠苑小区,旧区,3室1厅 ,94.68, 南 , 精装 ,9,2003, 塔楼,0, 2个月以前发布,1348000.0,"14,238元/平",近地铁 VR房源 房本满两年 随时看房 
祈福辉煌台 北站板块 交通便利 东南向望花园,祈福辉煌台,铁路西,2室2厅 ,65.78, 东南 , 精装 ,28,2007, 塔楼,18, 一年前发布,850000.0,"12,922元/平",近地铁 VR房源 房本满五年 随时看房 
房子产权清晰，门店有钥匙，看房方便,富力金港城东区,花东镇,2室1厅 ,78.64, 北 , 精装 ,11,2013, 塔楼,2, 2个月以前发布,870000.0,"11,064元/平",VR看装修 房本满五年 随时看房 
中层南向，装修保养好，满五唯一，采光充足，格局方正,骏威锦东花园B区,新区,3室2厅 ,126.49, 南 , 精装 ,19,2007, 塔楼,13, 7个月以前发布,2880000.0,"22,769元/平",近地铁 VR房源 房本满五年 随时看房 
格局方正 南向看花园 采光好 户型实用,合和新城,镜湖大道,3室2厅 ,96.44, 南 , 精装 ,15,2011, 平房,46, 8个月以前发布,1880000.0,"19,494元/平",VR房源 房本满五年 随时看房 
学府南苑 1室1厅 南,学府南苑,秀全街,1室1厅 ,47.33, 南 , 精装 ,11,2011, 塔楼,3, 2个月以前发布,630000.0,"13,311元/平",VR看装修 房本满五年 随时看房 
漂亮的小2房，快来看看吧，景观阳台,合和新城,镜湖大道,2室2厅 ,90.5, 北 , 精装 ,15,2011, 平房,62, 一年前发布,1680000.0,"18,564元/平",近地铁 VR看装修 房本满五年 随时看房 
格局方正，望湖景，位置安静，空气清新,天湖峰境,北兴镇,3室2厅 ,114.26, 东北 , 精装 ,28,2010, 塔楼,33, 8个月以前发布,830000.0,"7,265元/平",VR看装修 房本满五年 随时看房 
学府南苑南向精装大两房 高楼层视野宽广,学府南苑,秀全街,2室2厅 ,81.44, 西南 , 精装 ,17,2011, 塔楼,37, 8个月以前发布,1020000.0,"12,525元/平",VR看装修 房本满五年 随时看房 
省税 南向望花园 马鞍山公园就在家旁边 配套完善齐全,南航花园,新区,3室2厅 ,108.19, 南 , 简装 ,12,2002, 塔楼,55, 6个月以前发布,2080000.0,"19,226元/平",近地铁 VR看装修 房本满五年 随时看房 
广州融创文旅城B1区 3室2厅 南,广州融创文旅城B1区,花城街,3室2厅 ,99.0, 南 , 精装 ,34,2018, 塔楼,1, 2个月以前发布,2350000.0,"23,738元/平",VR看装修 房本满两年 随时看房 
云峰花园四期 次新房 楼中位置 中高层南北对流 毛坯,云峰花园4期,镜湖大道,3室2厅 ,116.24, 北 南 , 毛坯 ,14,2012, 塔楼,30, 4个月以前发布,2480000.0,"21,336元/平",近地铁 VR看装修 房本满两年 随时看房 
合和新城 布局合理，双卧朝南，户型方正 ， 真诚服,合和新城,镜湖大道,3室2厅 ,93.95, 东北 , 精装 ,15,2011, 平房,8, 4个月以前发布,1700000.0,"18,095元/平",近地铁 VR看装修 房本满五年 随时看房 
云峰花园机场板块保养新拎包入住,云峰花园1期,镜湖大道,3室2厅 ,128.0, 西南 , 精装 ,12,2005, 塔楼,24, 6个月以前发布,1920000.0,"15,000元/平",近地铁 VR看装修 房本满五年 随时看房 
花都融创住宅产权 证满两年 楼层适中，读书资源好,广州融创文旅城A1区,花城街,1室1厅 ,50.61, 北 , 毛坯 ,31,2016, 塔楼,22, 一年前发布,880000.0,"17,388元/平",VR看装修 房本满两年 随时看房 
证过五年唯一，四期望花园，户型方正，精装修未住过。,豪利花园,镜湖大道,3室2厅 ,99.26, 北 , 精装 ,16,2014, 塔楼,57, 10个月以前发布,1840000.0,"18,538元/平",VR看装修 房本满五年 随时看房 
航都花园 电梯中高楼层 精装三房 地铁口物业,航都花园,新区,3室2厅 ,101.8, 南 , 精装 ,12,2003, 塔楼,2, 3个月以前发布,1650000.0,"16,209元/平",近地铁 VR房源 房本满五年 随时看房 
保利地铁两房，刚需上车必选，无压力，大阳台景观好！,保利城花园,铁路西,2室2厅 ,82.93, 北 , 简装 ,26,2011, 塔楼,36, 4个月以前发布,1090000.0,"13,144元/平",近地铁 VR看装修 房本满五年 随时看房 
轩逸荟，装修很好，保养新净，三房两卫，随时看房,智烨山水豪庭,狮岭镇,3室2厅 ,91.51, 北 , 精装 ,16,2014, 塔楼,0, 1个月以前发布,1120000.0,"12,240元/平",VR看装修 房本满五年 随时看房 
东骏花园 区府旁 花都广场 近地铁 满五年,东骏花园,旧区,3室1厅 ,90.0, 南 , 精装 ,8,2006, 塔楼,58, 一年前发布,1400000.0,"15,556元/平",近地铁 VR看装修 房本满五年 随时看房 
门口就是地铁口，房子在小区中间位置安静舒适,梅园新村(花都区),旧区,3室1厅 ,78.0, 南 北 , 简装 ,6,1987, 板楼,46, 6个月以前发布,770000.0,"9,872元/平",近地铁 VR看装修 房本满五年 随时看房 
北站新城一步到位大3房天龙苑少有户型精装拎包入住,祈福天龙苑,铁路西,3室2厅 ,102.0, 东南 , 其他 ,27,2014, 塔楼,0, 2个月以前发布,1920000.0,"18,824元/平",VR房源 房本满两年 随时看房 
房子保养好，业主诚心出，看中可谈，适合一家居住,天马丽苑二期,铁路西,3室2厅 ,97.6, 南 , 简装 ,35,2007, 塔楼,1, 7个月以前发布,1400000.0,"14,345元/平",VR看装修 房本满五年 随时看房 
配套齐，视野开阔采光充足，产权清晰，诚意放卖,南航花园,新区,4室1厅 ,138.0, 北 , 精装 ,11,2002, 塔楼,21, 3个月以前发布,2450000.0,"17,754元/平",近地铁 VR看装修 房本满五年 随时看房 
美雅苑 三房精装 花果山地铁口,美雅苑,旧区,3室2厅 ,103.0, 东 北 , 简装 ,9,2004, 塔楼,67, 4个月以前发布,1160000.0,"11,263元/平",近地铁 VR房源 房本满五年 随时看房 
2002年锦砖小区 宜居三房 双阳台 四小,骏怡居,旧区,3室2厅 ,92.83, 南 , 其他 ,9,2002, 塔楼,5, 2个月以前发布,1200000.0,"12,927元/平",VR房源 房本满五年 随时看房 
广州北站地铁口，看花园安静舒适大三房。配套成熟,南华时代城,铁路西,3室1厅 ,105.94, 南 北 , 精装 ,31,2010, 塔楼,19, 6个月以前发布,1810000.0,"17,086元/平",VR房源 房本满两年 随时看房 
此别墅满五年唯一、南北对流、前后花园、带观景露台,碧桂园假日半岛鸟语花香,山前大道,5室2厅 ,211.27, 南 北 , 精装 ,3,2007, 暂无数据,3, 1个月以前发布,2420000.0,"11,455元/平",VR房源 房本满五年 随时看房 
华南路 3室2厅 南 北,华南路,旧区,3室2厅 ,62.68, 南 北 , 简装 ,5,1997, 塔楼,37, 2个月以前发布,450000.0,"7,180元/平",VR看装修 房本满五年 随时看房 
美域华庭——地铁800米，北站，配套齐。。两房南向,美域华庭,铁路西,2室2厅 ,88.28, 南 , 简装 ,9,2010, 塔楼,4, 1个月以前发布,1120000.0,"12,687元/平",VR看装修 房本满五年 随时看房 
四期复式五房三卫，南北对流，上下两层，带前后花园,豪利花园,镜湖大道,5室2厅 ,95.0, 南 , 精装 ,15,2014, 塔楼,1, 1个月以前发布,3150000.0,"33,158元/平",VR房源 房本满两年 随时看房 
满五唯一，锦砖电梯，生活配套完善,阳光雅居,旧区,3室2厅 ,110.57, 南 , 精装 ,11,2011, 塔楼,44, 9个月以前发布,1530000.0,"13,838元/平",VR看装修 房本满五年 随时看房 
区府锦东A区笋盘 保养很好 南向不靠路 骏威 业主急卖,骏威锦东花园A区,新区,3室2厅 ,99.66, 南 , 精装 ,24,2012, 塔楼,9, 2个月以前发布,2990000.0,"30,003元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁口 精装3房保养好 电梯中层 证满两年 格局方正,永星景苑,铁路西,3室2厅 ,95.19, 东南 , 精装 ,18,2011, 塔楼,4, 11个月以前发布,1330000.0,"13,973元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚意出*  环境优美   物业安全,花都颐和山庄,狮岭镇,5室3厅 ,300.3, 南 北 , 毛坯 ,3, 塔楼 , 独栋别墅 ,35, 一年前发布,2990000.0,"9,957元/平",VR房源 房本满五年 随时看房 
秀全水库旁精装自住三房，保养好位置安静，实用率高！,智烨山水豪庭,狮岭镇,3室2厅 ,87.37, 西南 , 精装 ,18,2012, 塔楼,9, 3个月以前发布,1020000.0,"11,675元/平",VR看装修 房本满两年 随时看房 
华侨花园  中层南向  精装修3房,华侨花园,旧区,3室2厅 ,108.72, 南 , 精装 ,9,2000, 塔楼,95, 10个月以前发布,1500000.0,"13,797元/平",近地铁 VR看装修 房本满五年 随时看房 
南向，带T型飘窗，视野开阔，房子保养好，业主好谈,富力金港城东区,花东镇,3室2厅 ,98.84, 南 , 精装 ,9,2014, 塔楼,0, 1个月以前发布,1290000.0,"13,052元/平",VR看装修 房本满五年 随时看房 
天湖峰境 3室2厅 南 北,天湖峰境,北兴镇,3室2厅 ,127.85, 南 北 , 毛坯 ,29,2010, 塔楼,12, 5个月以前发布,860000.0,"6,727元/平",VR看装修 房本满两年 随时看房 
荣芳楼 3室2厅 南,荣芳楼,旧区,3室2厅 ,70.28, 南 , 简装 ,9,2000, 塔楼,58, 6个月以前发布,570000.0,"8,111元/平",VR看装修 房本满五年 随时看房 
芙蓉春晓 3室2厅 南 北,芙蓉春晓,狮岭镇,3室2厅 ,107.53, 南 北 , 毛坯 ,28,2015, 塔楼,3, 6个月以前发布,1080000.0,"10,044元/平",VR看装修 房本满五年 随时看房 
保利城花园 舒适小三房 双阳台 户型方正 望泳池,保利城花园,铁路西,3室2厅 ,91.11, 东北 , 其他 ,25,2012, 塔楼,0, 一年前发布,1300000.0,"14,269元/平",近地铁 VR看装修 房本满五年 随时看房 
急卖 +车位 过五唯一 中高层 东南向 视野开阔 3房2卫,保利高尔夫郡,铁路西,3室2厅 ,126.81, 东南 , 精装 ,30,2015, 塔楼,23, 5个月以前发布,1830000.0,"14,432元/平",近地铁 VR看装修 房本满五年 
新都雅居 3室2厅 南,新都雅居,旧区,3室2厅 ,121.82, 南 , 简装 ,18,2010, 塔楼,1, 1个月以前发布,1880000.0,"15,433元/平",VR房源 房本满五年 
广州市花都区天马丽苑二期铁路西，九小，幼儿园都有,天马丽苑二期,铁路西,3室2厅 ,132.2, 南 北 , 精装 ,34,2013, 塔楼,11, 3个月以前发布,1630000.0,"12,330元/平",VR看装修 房本满五年 
房子格局方正，交通便利，采光好,祈福辉煌台,铁路西,2室1厅 ,87.68, 北 , 精装 ,28,2008, 塔楼,72, 7个月以前发布,1150000.0,"13,116元/平",近地铁 VR房源 房本满五年 
户型方正 ，精装修，干净温馨，安静舒适，看房方便,朗悦君廷,镜湖大道,3室2厅 ,92.94, 南 , 精装 ,17,2007, 塔楼,25, 2个月以前发布,1400000.0,"15,064元/平",VR房源 房本满五年 
花都湖公园200米 怡雅花园精装大3房 已加装电梯使用中,怡雅花园,旧区,3室2厅 ,112.36, 北 , 精装 ,9,2001, 板楼,3, 10个月以前发布,1500000.0,"13,350元/平",VR看装修 房本满五年 
实用3房，证够五年唯一，机场快线无按揭,五洲花园,旧区,3室1厅 ,104.43, 东 , 精装 ,8,2004, 塔楼,36, 4个月以前发布,1150000.0,"11,013元/平",近地铁 VR看装修 房本满五年 
封闭式小区管理，独立产权，可公积金，产权清晰,万虹花园,狮岭镇,1室0厅 ,23.36, 东 , 简装 ,7,2009, 塔楼,5, 2个月以前发布,170000.0,"7,278元/平",VR看装修 房本满两年 随时看房 
万虹花园 3室1厅 南,万虹花园,狮岭镇,3室1厅 ,79.89, 南 , 简装 ,7,2005, 塔楼,0, 1个月以前发布,710000.0,"8,888元/平",VR房源 房本满两年 
合和新城精装刚需地铁口两房，干净整洁,合和新城,镜湖大道,2室1厅 ,60.63, 南 , 精装 ,15,2012, 平房,36, 5个月以前发布,1380000.0,"22,762元/平",VR房源 房本满两年 
万虹花园 3室2厅 西,万虹花园,狮岭镇,3室2厅 ,108.11, 西 , 简装 ,11,2011, 塔楼,0, 1个月以前发布,1150000.0,"10,638元/平",VR房源 房本满五年 
馨泉花园，精致小户型，装修保养好，业主诚心出shou,馨泉花园,新区,1室1厅 ,38.8, 北 , 精装 ,9,2009, 塔楼,1,20,430000.0,"11,083元/平",VR看装修 房本满五年 
南向小复式带精装修，有两个大露台，实用面积大,建设北路,旧区,2室0厅 ,25.67, 南 , 精装 ,7,1998, 板楼,226, 一年前发布,398000.0,"15,505元/平",VR房源 房本满两年 随时看房 
满五唯一税费低、花都湖就在家楼下。,祈福生活无限,新区,2室2厅 ,42.0, 西南 , 精装 ,12,2010, 塔楼,21, 5个月以前发布,1070000.0,"25,477元/平",VR房源 房本满五年 随时看房 
